39846
XM_003403543.1	12189	13638	13638	1	3	0	0
NR_024540.1	14361	29369	13638	2	11	3	1
NR_036051.1	30365	30502	29369	1	1	14	2
NR_026818.1	34610	36080	30502	2	3	15	3
NM_001005484.1	69090	70007	36080	1	1	18	4
NR_039983.1	136697	140565	70007	2	4	19	5
NR_028322.1	323891	328580	140565	1	3	23	6
XM_002344251.2	329789	342506	328580	1	3	26	7
NM_001005221.2	367658	368596	342506	1	1	29	8
XR_132471.1	557142	566062	368596	1	2	30	9
NM_001005277.1	621095	622033	566062	2	1	32	10
XM_002342011.2	647186	659923	622033	2	3	33	11
NR_028327.1	661138	665730	659923	2	3	36	12
NR_033908.1	700244	714067	665730	2	7	39	13
XR_108279.1	721319	722512	714067	1	1	46	14
XR_108280.1	752750	755194	722512	1	2	47	15
NR_024321.1	761585	762901	755194	2	1	49	16
NR_015368.1	763063	789739	762901	1	7	50	17
XR_108281.1	766984	778983	789739	1	2	57	18
NR_027055.1	803450	812181	789739	2	3	59	19
XR_108282.1	846814	850734	812181	1	2	62	20
NR_026874.1	852952	854816	850734	2	4	64	21
NM_152486.2	861120	879960	854816	1	14	68	22
NM_015658.3	879582	894678	879960	2	19	82	23
NM_198317.2	895966	901098	894678	1	12	101	24
NM_032129.2	901876	910487	901098	1	16	113	25
NM_001160184.1	901876	910487	910487	1	15	129	25
NR_027693.1	910578	917472	910487	2	5	144	26
NM_021170.3	934341	935551	917472	2	4	149	27
NM_001142467.1	934343	935551	935551	2	3	153	27
NM_005101.3	948846	949919	935551	1	2	156	28
NM_198576.2	955502	991491	949919	1	36	158	29
NM_001205252.1	1007125	1009686	991491	2	2	194	30
NM_017891.4	1017197	1051735	1009686	2	10	196	31
NR_038869.1	1072396	1079435	1051735	1	3	206	32
NR_029639.1	1102483	1102577	1079435	1	1	209	33
NR_029834.1	1103242	1103331	1102577	1	1	210	34
NR_029957.1	1104384	1104466	1103331	1	1	211	35
XR_132470.1	1108435	1114934	1104466	2	2	212	36
NM_001130045.1	1109285	1133312	1114934	1	16	214	37
NM_153254.2	1115076	1121243	1133312	1	9	230	37
NM_148901.1	1138887	1142088	1133312	2	4	239	38
NM_148902.1	1138887	1142088	1142088	2	5	243	38
NM_004195.2	1138887	1142088	1142088	2	5	248	38
NM_003327.3	1146705	1149547	1142088	2	7	253	39
NM_016176.3	1152287	1167446	1149547	2	7	260	40
NM_016547.2	1152287	1167446	1167446	2	7	267	40
NM_080605.3	1167628	1170420	1167446	1	1	274	41
NM_001014980.1	1177832	1182101	1170420	2	8	275	42
NM_194458.1	1189291	1209233	1182101	2	7	283	43
NM_058167.2	1189291	1209233	1209233	2	7	290	43
NM_194457.1	1189291	1209233	1209233	2	6	297	43
NM_194315.1	1189291	1209233	1209233	2	8	303	43
NM_001130413.3	1215815	1227408	1209233	1	18	311	44
NR_037668.2	1215815	1227408	1227408	1	17	329	44
NM_030649.2	1227763	1243268	1227408	2	24	346	45
NM_153339.1	1243993	1247056	1243268	1	8	370	46
NM_017871.4	1246964	1260045	1247056	2	17	378	47
NM_001029885.1	1260142	1264275	1260045	1	3	395	48
NM_152228.1	1266725	1269843	1264275	1	6	398	49
NM_004421.2	1270657	1284491	1269843	2	15	404	50
NM_032348.2	1288070	1293914	1284491	2	10	419	51
NM_001127229.1	1309109	1310579	1293914	2	4	429	52
NM_017900.2	1309109	1310817	1310579	2	4	433	52
NM_001127230.1	1309110	1310561	1310817	2	4	437	52
NM_030937.4	1321090	1334717	1310817	2	11	441	53
NM_001039577.3	1327667	1334717	1334717	2	6	452	53
NR_015434.1	1334909	1337425	1334717	1	3	458	54
NM_017971.3	1337275	1342692	1337425	2	4	461	55
NM_001145210.1	1353799	1356649	1342692	2	4	465	56
NR_026871.1	1353799	1356649	1356649	2	3	469	56
NM_001146685.1	1361507	1363166	1356649	1	2	472	57
NM_022834.4	1370902	1378261	1363166	1	3	474	58
NM_199121.2	1370902	1378261	1378261	1	3	477	58
NM_001039211.2	1385068	1405537	1378261	1	12	480	59
NM_031921.4	1407163	1431581	1405537	1	16	492	60
NM_018188.3	1447522	1470066	1431581	1	16	508	61
NM_001170535.1	1447522	1470066	1470066	1	16	524	61
NM_001170536.1	1447909	1470066	1470066	1	16	540	61
NM_001114748.1	1470157	1475739	1470066	2	4	556	62
NM_014188.2	1477052	1510261	1475739	2	5	560	63
NM_001242659.1	1533387	1535475	1510261	2	1	565	64
NM_001170687.1	1550794	1565989	1535475	1	20	566	65
NM_001170686.1	1550794	1565989	1565989	1	20	586	65
NM_080875.2	1550794	1565989	1565989	1	20	606	65
NM_001170688.1	1550794	1565989	1565989	1	19	626	65
NR_033183.1	1550794	1565989	1565989	1	20	645	65
NM_001170689.1	1551244	1565989	1565989	1	18	665	65
NM_006983.1	1567559	1570029	1565989	1	8	683	66
NM_033489.1	1571099	1590472	1570029	2	20	691	67
NM_033488.1	1571099	1590472	1590472	2	19	711	67
NM_033486.1	1571099	1590472	1590472	2	19	730	67
NM_033493.1	1571099	1590472	1590472	2	18	749	67
NM_033487.1	1571099	1590472	1590472	2	18	767	67
NM_033492.1	1571099	1590472	1590472	2	18	785	67
NM_001110781.1	1592938	1624242	1590472	2	9	803	68
NR_002946.1	1631377	1633246	1624242	1	6	812	69
NM_033529.2	1634168	1655790	1633246	2	20	818	70
NM_024011.2	1634168	1655790	1655790	2	20	838	70
NM_001199787.1	1656276	1677437	1655790	2	7	858	71
NM_182838.2	1658823	1677437	1677437	2	6	865	71
NM_001198995.1	1682670	1690080	1677437	2	10	871	72
NM_023018.4	1682670	1709908	1690080	2	12	881	72
NM_001198993.1	1682670	1710296	1709908	2	12	893	72
NM_001198994.1	1682670	1711507	1710296	2	14	905	72
NM_002074.3	1716724	1822525	1711507	2	12	919	73
NM_138705.2	1846265	1848732	1822525	1	6	931	74
NM_178545.3	1849028	1850739	1848732	2	5	937	75
XM_003403417.1	1853389	1859367	1850739	2	10	942	76
NM_001080484.1	1884751	1935275	1859367	2	18	952	77
NM_000815.4	1950767	1962191	1935275	1	9	970	78
NM_002744.4	1981908	2116833	1962191	1	18	979	79
NM_001033581.1	2005085	2116833	2116833	1	15	997	79
NM_001242874.1	2005424	2116833	2116833	1	15	1012	79
NM_001033582.1	2036154	2116833	2116833	1	15	1027	79
XM_003118494.1	2113245	2115491	2116833	2	1	1042	80
NM_001146310.1	2115898	2139171	2116833	2	8	1043	81
NM_182533.2	2120986	2126213	2139171	2	4	1051	81
NM_003036.3	2160133	2241651	2139171	1	7	1055	82
NM_024848.1	2252695	2322992	2241651	2	14	1062	83
NR_024489.1	2281852	2284099	2322992	2	1	1076	84
NM_007033.4	2323213	2336882	2322992	1	7	1077	85
NM_002617.3	2336240	2344009	2336882	2	6	1084	86
NM_153818.1	2336240	2344009	2344009	2	6	1090	86
NM_014638.2	2407753	2436963	2344009	1	22	1096	87
NM_018216.1	2439974	2458034	2436963	2	19	1118	88
NM_001010926.3	2460183	2461683	2458034	2	3	1137	89
NR_026927.1	2481358	2484283	2461683	2	2	1140	90
NR_037844.1	2487207	2488449	2484283	2	2	1142	91
NM_003820.2	2487804	2495267	2488449	1	8	1144	92
NR_036638.1	2517898	2522907	2495267	1	7	1152	93
NR_036637.1	2517898	2522907	2522907	1	7	1159	93
NM_001195737.1	2518188	2522907	2522907	1	7	1166	93
NM_001195738.1	2518188	2522907	2522907	1	7	1173	93
NM_001195740.1	2518188	2522907	2522907	1	6	1180	93
NM_001195741.1	2518188	2522907	2522907	1	6	1186	93
NM_152371.3	2518188	2522907	2522907	1	7	1192	93
NM_001195736.1	2518188	2522907	2522907	1	7	1199	93
NM_033467.3	2522080	2564480	2522907	2	24	1206	94
NM_001242672.1	2572806	2706229	2564480	2	7	1230	95
NM_080431.4	2938045	2939466	2706229	1	1	1237	96
NR_015440.1	2976180	2984288	2939466	2	6	1238	97
NR_024371.1	2980635	2984288	2984288	2	2	1244	97
NM_022114.3	2985741	3355184	2984288	1	17	1246	98
NM_199454.2	2985741	3355184	3355184	1	17	1263	98
NR_036215.1	3044538	3044598	3355184	1	1	1280	99
NM_014448.3	3371146	3397676	3355184	1	15	1281	100
NM_001409.3	3404505	3528058	3397676	2	37	1296	101
NR_030277.1	3477258	3477353	3528058	2	1	1333	102
NM_182752.3	3541555	3546694	3528058	1	5	1334	103
NM_017818.3	3547330	3566670	3546694	2	12	1339	104
NM_001204187.1	3569128	3652764	3566670	1	12	1351	105
NM_001204185.1	3569128	3652764	3652764	1	13	1363	105
NM_001204184.1	3569128	3652764	3652764	1	13	1376	105
NM_001204186.1	3569128	3652764	3652764	1	11	1389	105
NM_001204188.1	3569128	3652764	3652764	1	12	1400	105
NM_005427.3	3569128	3652764	3652764	1	14	1412	105
NM_001204191.1	3607235	3652764	3652764	1	10	1426	105
NM_001126241.2	3607235	3652764	3652764	1	11	1436	105
NM_001126242.2	3607235	3652764	3652764	1	11	1447	105
NM_001204190.1	3607235	3652764	3652764	1	10	1458	105
NM_001126240.2	3607235	3652764	3652764	1	12	1468	105
NM_001204189.1	3607235	3652764	3652764	1	9	1480	105
NM_001204192.1	3614609	3652764	3652764	1	12	1489	105
NR_033712.1	3652547	3663334	3652764	2	6	1501	106
NR_033708.1	3652547	3663936	3663334	2	5	1507	106
NR_033709.1	3652547	3663936	3663936	2	5	1512	106
NR_033710.1	3652547	3663936	3663936	2	5	1517	106
NR_033711.1	3652547	3663936	3663936	2	4	1522	106
NM_152492.2	3668964	3688208	3663936	1	12	1526	107
NM_001163724.1	3689351	3692545	3688208	1	4	1538	108
NM_020710.2	3696783	3713067	3692545	2	7	1542	109
NM_014704.3	3728644	3773796	3713067	2	22	1549	110
NM_004402.2	3773844	3801992	3773796	1	7	1571	111
NM_207356.2	3805696	3816856	3801992	2	4	1578	112
NR_024455.1	3816967	3832010	3816856	1	4	1582	113
NR_040065.1	4000671	4012642	3832010	1	3	1586	114
NR_027088.1	4472110	4484743	4012642	1	6	1589	115
NM_001042478.1	4715104	4837853	4484743	1	6	1595	116
NM_018836.3	4715104	4843850	4837853	1	6	1601	116
NR_039612.1	5624130	5624202	4843850	1	1	1607	117
NR_039838.1	5922731	5922800	5624202	2	1	1608	118
NM_015102.3	5922869	6052532	5922800	2	30	1609	119
NM_001199861.1	6052357	6161252	6052532	1	16	1639	120
NM_003636.3	6086072	6161252	6161252	1	16	1655	120
NM_172130.2	6086072	6161252	6161252	1	15	1671	120
NM_001199860.1	6094347	6161252	6161252	1	16	1686	120
NM_001199862.1	6105980	6161252	6161252	1	16	1702	120
NM_001199863.1	6106173	6161252	6161252	1	14	1718	120
NM_015557.2	6161846	6240193	6161252	2	42	1732	121
NM_000983.3	6245079	6259678	6240193	2	4	1774	122
NM_207396.2	6266188	6281358	6259678	1	18	1778	123
NM_012405.3	6281252	6296043	6281358	2	5	1796	124
XR_109862.1	6297867	6299503	6296043	1	2	1801	125
NM_001024598.3	6304251	6305637	6299503	1	4	1803	126
NM_207370.2	6307405	6321034	6305637	2	6	1807	127
NM_181866.2	6324331	6419003	6321034	2	9	1813	128
NM_181865.2	6324331	6420763	6419003	2	9	1822	128
NM_181864.2	6324331	6445882	6420763	2	9	1831	128
NM_007274.3	6324331	6453825	6445882	2	9	1840	128
XR_109863.1	6326514	6327291	6453825	1	1	1849	129
NM_019089.4	6475291	6479978	6453825	2	4	1850	130
NM_031475.2	6484847	6521003	6479978	1	13	1854	131
NR_036218.1	6489893	6489955	6521003	2	1	1867	132
NM_148970.1	6521210	6526254	6521003	2	5	1868	133
NM_003790.2	6521210	6526254	6526254	2	10	1873	133
NM_148966.1	6521210	6526254	6526254	2	9	1883	133
NM_148967.1	6521210	6526254	6526254	2	9	1892	133
NM_148965.1	6521210	6526254	6526254	2	10	1901	133
NM_001039664.1	6524170	6526254	6526254	2	5	1911	133
NM_001042665.1	6526151	6546013	6526254	2	21	1916	134
NM_001042664.1	6526151	6550639	6546013	2	21	1937	134
NM_020631.3	6526151	6551759	6550639	2	21	1958	134
NM_001042663.1	6526151	6557483	6551759	2	22	1979	134
NM_198681.2	6526151	6580068	6557483	2	22	2001	134
NM_024654.4	6581406	6614657	6580068	2	12	2023	135
NM_177540.2	6615337	6639816	6614657	1	5	2035	136
NM_138697.3	6615337	6639816	6639816	1	6	2040	136
NM_005341.2	6640062	6649339	6639816	1	11	2046	137
NM_014851.2	6650783	6662928	6649339	2	4	2057	138
NM_153812.2	6673755	6684092	6662928	1	4	2061	139
NM_001195753.1	6684924	6693641	6684092	1	6	2065	140
NM_001195752.1	6685209	6693641	6693641	1	5	2071	140
NM_138350.3	6685209	6695645	6693641	1	5	2076	140
NM_018198.3	6694227	6761965	6695645	2	16	2081	141
XR_109864.1	6784804	6790052	6761965	1	2	2097	142
