	TLSW	TMSW	Event Info	FSC 488/10-H	FSC 488/10-A	FSC 488/10-W	FSC 405/10 (spd)-H	FSC 405/10 (spd)-A	FSC 405/10 (spd)-W	SSC 488/10-H	SSC 488/10-A	SSC 488/10-W	IFNL1-H	IFNL1-A	IFNL1-W	IFNB1-H	IFNB1-A	IFNB1-W	M2-H	M2-A	M2-W	TIME
6	6629316.0	0.0	4294902800.0	67607.0	106507.0	124024.0	262122.0	262143.0	135496.0	27108.0	34814.0	97188.0	32.0	24.0	27188.0	9.0	4.0	18044.0	26.0	18.0	18100.0	13259.0
7	6630976.0	0.0	4294902800.0	72480.0	101126.0	104364.0	262122.0	262143.0	110476.0	30012.0	37192.0	93524.0	60.0	63.0	72532.0	29.0	32.0	39828.0	36.0	30.0	30020.0	13262.0
8	6644471.0	0.0	4294902800.0	72239.0	113220.0	118700.0	262122.0	262143.0	117904.0	26567.0	35347.0	102168.0	39.0	37.0	58392.0	15.0	9.0	28800.0	90.0	108.0	78292.0	13289.0
9	6667272.0	0.0	4294902800.0	66719.0	98395.0	115576.0	262122.0	262143.0	110572.0	19550.0	24689.0	95784.0	48.0	58.0	71032.0	19.0	18.0	41620.0	32.0	35.0	37872.0	13335.0
10	6694440.0	0.0	4294902800.0	72673.0	121954.0	134384.0	262122.0	262143.0	136424.0	35423.0	49191.0	106060.0	71.0	86.0	90076.0	40.0	45.0	78392.0	43.0	58.0	88448.0	13389.0
29	75837870.0	0.0	4294901800.0	80626.0	92485.0	88304.0	262122.0	262143.0	88064.0	21309.0	21684.0	77076.0	1.0	2.0	6052.0	1.0	1.0	3376.0	1.0	1.0	3848.0	151676.0
35	78036936.0	0.0	4294902800.0	74119.0	86635.0	82840.0	262122.0	262143.0	97040.0	21830.0	27898.0	97300.0	36.0	36.0	34192.0	11.0	7.0	18560.0	76.0	77.0	77924.0	156074.0
36	78060960.0	0.0	4294902800.0	72217.0	122029.0	130076.0	262122.0	262143.0	139536.0	48085.0	67523.0	107276.0	42.0	50.0	81712.0	33.0	16.0	22024.0	1316.0	2134.0	129128.0	156122.0
37	78088420.0	0.0	4294902800.0	77433.0	138403.0	134760.0	262122.0	262143.0	168848.0	41356.0	60312.0	111536.0	81.0	108.0	89404.0	68.0	91.0	94436.0	13525.0	22661.0	137444.0	156177.0
38	78095096.0	0.0	4294902800.0	66184.0	159022.0	200060.0	262122.0	262143.0	201124.0	33302.0	67000.0	164464.0	33.0	70.0	145860.0	30.0	45.0	47928.0	47.0	87.0	131664.0	156190.0
40	78109530.0	0.0	4294902800.0	67805.0	124734.0	148620.0	262122.0	262143.0	146940.0	55667.0	81360.0	111848.0	123.0	172.0	101264.0	67.0	82.0	81132.0	83.0	101.0	89036.0	156219.0
64	149126270.0	0.0	4294902800.0	66730.0	125635.0	152336.0	262122.0	262143.0	143240.0	40515.0	56240.0	106468.0	86.0	100.0	82280.0	53.0	62.0	75740.0	54.0	67.0	87200.0	298253.0
89	199060660.0	0.0	4294902500.0	79964.0	117056.0	115004.0	262122.0	262143.0	143584.0	23912.0	31988.0	101324.0	22.0	20.0	55940.0	6.0	3.0	8860.0	48.0	62.0	98228.0	398121.0
90	199061680.0	0.0	4294902500.0	61564.0	101335.0	125348.0	241866.0	262143.0	131028.0	35293.0	48570.0	105932.0	52.0	56.0	62352.0	20.0	14.0	16332.0	93.0	105.0	90256.0	398123.0
91	199069000.0	0.0	4294902500.0	61070.0	105336.0	137940.0	248316.0	262143.0	137928.0	27764.0	37981.0	103452.0	73.0	83.0	76060.0	21.0	30.0	56892.0	44.0	41.0	26992.0	398138.0
92	199072700.0	0.0	4294902500.0	60073.0	101997.0	133804.0	262122.0	262143.0	134444.0	31049.0	41017.0	99992.0	59.0	58.0	64136.0	18.0	20.0	14228.0	532.0	899.0	137576.0	398145.0
93	201247360.0	0.0	4294902500.0	71038.0	145237.0	165032.0	262122.0	262143.0	176508.0	47250.0	64358.0	103476.0	59.0	57.0	55028.0	31.0	35.0	64944.0	37.0	39.0	37276.0	402495.0
94	201759420.0	0.0	4294902500.0	82292.0	139921.0	120600.0	262122.0	262143.0	139188.0	42995.0	61952.0	110152.0	42.0	45.0	64788.0	77.0	104.0	106748.0	27179.0	42658.0	123984.0	403519.0
95	201781600.0	0.0	4294902500.0	87298.0	153832.0	137260.0	262122.0	262143.0	162284.0	52637.0	76015.0	111312.0	112.0	119.0	77556.0	54.0	54.0	45580.0	86.0	117.0	85408.0	403563.0
97	220791060.0	0.0	4294902500.0	78017.0	126173.0	129080.0	262122.0	262143.0	125792.0	39415.0	52117.0	100212.0	67.0	76.0	85692.0	28.0	39.0	65684.0	85.0	104.0	79660.0	441582.0
105	257987940.0	0.0	4294901800.0	85693.0	150104.0	131768.0	262122.0	262143.0	134508.0	56857.0	75196.0	100236.0	100.0	118.0	76000.0	38.0	36.0	57848.0	76.0	88.0	83228.0	515976.0
109	263518720.0	0.0	4294901800.0	101624.0	170662.0	135876.0	262122.0	262143.0	150652.0	45873.0	62725.0	104256.0	94.0	114.0	82056.0	55.0	55.0	61128.0	136.0	155.0	87256.0	527037.0
114	271998820.0	0.0	4294901800.0	67223.0	128172.0	153756.0	262122.0	262143.0	161516.0	39933.0	57973.0	111128.0	61.0	83.0	96216.0	26.0	21.0	34940.0	35.0	21.0	18836.0	543998.0
125	295224300.0	0.0	4294902500.0	78194.0	134207.0	133924.0	262122.0	262143.0	137984.0	50049.0	65534.0	100124.0	82.0	86.0	80120.0	26.0	28.0	60748.0	81.0	93.0	76392.0	590449.0
129	304266140.0	0.0	4294902500.0	75842.0	130441.0	130844.0	262122.0	262143.0	120620.0	39316.0	50553.0	97056.0	114.0	139.0	89124.0	57.0	86.0	90300.0	121.0	139.0	88800.0	608532.0
130	305337400.0	0.0	4294902500.0	76532.0	118043.0	122052.0	262122.0	262143.0	122872.0	36604.0	48178.0	100632.0	45.0	43.0	52032.0	16.0	19.0	34132.0	22.0	29.0	58120.0	610675.0
132	313161380.0	0.0	4294902500.0	70560.0	104679.0	113572.0	262122.0	262143.0	110280.0	23164.0	29361.0	96184.0	79.0	94.0	87992.0	29.0	23.0	41132.0	53.0	68.0	67532.0	626323.0
139	335611330.0	0.0	4294902500.0	96347.0	157317.0	130744.0	262122.0	262143.0	148616.0	48520.0	61907.0	96668.0	94.0	104.0	73952.0	38.0	43.0	73276.0	62.0	80.0	67048.0	671223.0
142	339044450.0	0.0	4294902500.0	82364.0	117346.0	106328.0	262122.0	262143.0	115084.0	46463.0	57745.0	94024.0	62.0	90.0	87616.0	69.0	95.0	97748.0	16631.0	25973.0	123756.0	678089.0
