	TLSW	TMSW	Event Info	FSC 488/10-H	FSC 488/10-A	FSC 488/10-W	FSC 405/10 (spd)-H	FSC 405/10 (spd)-A	FSC 405/10 (spd)-W	SSC 488/10-H	SSC 488/10-A	SSC 488/10-W	IFNL1-H	IFNL1-A	IFNL1-W	IFNB1-H	IFNB1-A	IFNB1-W	M2-H	M2-A	M2-W	TIME
6	7098651.0	0.0	4294902800.0	69132.0	113219.0	128956.0	262122.0	262143.0	140836.0	37132.0	45765.0	92432.0	66.0	80.0	78576.0	21.0	29.0	30516.0	61.0	84.0	80388.0	14197.0
7	7115576.0	0.0	4294902800.0	71906.0	128590.0	146452.0	262122.0	262143.0	155308.0	35255.0	50655.0	110988.0	62.0	65.0	74116.0	38.0	55.0	70716.0	8178.0	13154.0	124980.0	14231.0
8	7118131.0	0.0	4294902800.0	59142.0	97919.0	131660.0	247402.0	262143.0	124808.0	38949.0	48775.0	94888.0	4266.0	5572.0	98664.0	41.0	37.0	51676.0	5360.0	7453.0	113544.0	14236.0
32	80167150.0	0.0	4294902800.0	78128.0	130740.0	119684.0	262122.0	262143.0	125036.0	40599.0	55273.0	103312.0	69.0	80.0	76248.0	48.0	50.0	61368.0	73.0	90.0	76960.0	160334.0
34	80181330.0	0.0	4294902800.0	62028.0	109318.0	138904.0	262122.0	262143.0	135676.0	31759.0	42178.0	100900.0	57.0	78.0	96648.0	34.0	40.0	66796.0	30.0	26.0	47304.0	160363.0
52	150271200.0	0.0	4294902800.0	67527.0	107239.0	129388.0	241939.0	262143.0	125016.0	36462.0	46401.0	95672.0	104.0	125.0	84796.0	42.0	39.0	25456.0	95.0	98.0	75924.0	300542.0
76	226225490.0	0.0	4294902500.0	95013.0	162637.0	129612.0	262122.0	262143.0	134604.0	47664.0	61564.0	98416.0	94.0	114.0	81448.0	40.0	42.0	60584.0	85.0	106.0	86636.0	452451.0
108	335029470.0	0.0	4294901800.0	66039.0	99369.0	116732.0	235472.0	262143.0	101272.0	31223.0	37610.0	91028.0	512.0	584.0	85624.0	399.0	499.0	89628.0	147.0	181.0	92728.0	670059.0
135	467773340.0	0.0	4294901800.0	83863.0	86809.0	76028.0	262122.0	262143.0	77992.0	36503.0	37744.0	77888.0	1.0	1.0	3780.0	1.0	1.0	5260.0	1.0	1.0	3960.0	935547.0
136	486773380.0	0.0	4294901800.0	75930.0	134112.0	151188.0	262122.0	262143.0	166800.0	44934.0	60402.0	102676.0	90.0	99.0	81596.0	44.0	40.0	34620.0	86.0	86.0	83308.0	973547.0
