	TLSW	TMSW	Event Info	FSC 488/10-H	FSC 488/10-A	FSC 488/10-W	FSC 405/10 (spd)-H	FSC 405/10 (spd)-A	FSC 405/10 (spd)-W	SSC 488/10-H	SSC 488/10-A	SSC 488/10-W	IFNL1-H	IFNL1-A	IFNL1-W	IFNB1-H	IFNB1-A	IFNB1-W	M2-H	M2-A	M2-W	TIME
0	10441.0	0.0	4294901800.0	65073.0	122714.0	148976.0	262122.0	262143.0	135164.0	52159.0	68118.0	99032.0	74.0	86.0	91344.0	108.0	129.0	88316.0	52.0	66.0	82564.0	21.0
1	11330.0	0.0	4294901800.0	57411.0	112389.0	161448.0	262122.0	262143.0	145612.0	47868.0	65797.0	105316.0	105.0	131.0	85596.0	128.0	170.0	102304.0	58.0	71.0	24352.0	23.0
2	15540.0	0.0	4294901800.0	74223.0	132244.0	142508.0	262122.0	262143.0	147864.0	56975.0	76322.0	102112.0	63.0	75.0	75300.0	102.0	116.0	67672.0	50.0	64.0	65484.0	31.0
4	29639.0	0.0	4294901800.0	80427.0	158745.0	152064.0	262122.0	262143.0	175068.0	61076.0	95309.0	120640.0	177.0	235.0	98720.0	338.0	458.0	99980.0	185.0	236.0	74320.0	59.0
6	36463.0	0.0	4294901800.0	78972.0	121116.0	116048.0	262122.0	262143.0	128752.0	41280.0	54737.0	101748.0	56.0	74.0	77984.0	147.0	193.0	99984.0	36.0	33.0	64400.0	73.0
7	42015.0	0.0	4294901800.0	55051.0	87456.0	123200.0	251316.0	262143.0	119900.0	26419.0	32137.0	91784.0	31.0	29.0	38060.0	46.0	54.0	72996.0	42.0	44.0	59820.0	84.0
8	44540.0	0.0	4294901800.0	78869.0	125611.0	119772.0	262122.0	262143.0	146872.0	35961.0	48668.0	102932.0	50.0	63.0	86332.0	45.0	48.0	60692.0	32.0	45.0	54404.0	89.0
9	56438.0	0.0	4294901800.0	57055.0	117953.0	169388.0	262122.0	262143.0	147920.0	47441.0	63634.0	101136.0	163.0	185.0	79184.0	248.0	323.0	95572.0	82.0	110.0	93484.0	113.0
12	78938.0	0.0	4294901800.0	67493.0	116732.0	130616.0	262122.0	262143.0	139820.0	40139.0	56329.0	107836.0	60.0	70.0	69632.0	117.0	128.0	79804.0	88.0	128.0	93492.0	158.0
14	82712.0	0.0	4294901800.0	62196.0	105154.0	130912.0	262122.0	262143.0	143436.0	30018.0	41125.0	104668.0	32.0	34.0	56520.0	50.0	46.0	50124.0	23.0	20.0	39196.0	165.0
15	98138.0	0.0	4294901800.0	69536.0	122592.0	137656.0	262122.0	262143.0	140360.0	43097.0	60038.0	106628.0	57.0	70.0	90608.0	86.0	110.0	94600.0	83.0	98.0	66988.0	196.0
17	100239.0	0.0	4294901800.0	68525.0	117605.0	131252.0	262122.0	262143.0	135984.0	43904.0	55249.0	95472.0	40.0	37.0	51544.0	27.0	31.0	43632.0	28.0	13.0	23164.0	200.0
18	103919.0	0.0	4294901800.0	66385.0	143364.0	180900.0	262122.0	262143.0	186624.0	37522.0	83480.0	176936.0	49.0	79.0	112360.0	73.0	137.0	114304.0	37.0	52.0	77900.0	208.0
19	109323.0	0.0	4294901800.0	56482.0	160452.0	235392.0	262122.0	262143.0	206452.0	49225.0	104551.0	169544.0	62.0	130.0	157264.0	109.0	255.0	183788.0	244.0	436.0	144940.0	219.0
