	TLSW	TMSW	Event Info	FSC 488/10-H	FSC 488/10-A	FSC 488/10-W	FSC 405/10 (spd)-H	FSC 405/10 (spd)-A	FSC 405/10 (spd)-W	SSC 488/10-H	SSC 488/10-A	SSC 488/10-W	IFNL1-H	IFNL1-A	IFNL1-W	IFNB1-H	IFNB1-A	IFNB1-W	M2-H	M2-A	M2-W	TIME
5	17772968.0	0.0	4294901800.0	75531.0	115467.0	114624.0	262122.0	262143.0	116584.0	37370.0	45131.0	91656.0	62.0	60.0	66216.0	27.0	30.0	29280.0	57.0	58.0	50048.0	35546.0
8	29236004.0	0.0	4294901800.0	75844.0	93518.0	96304.0	262122.0	262143.0	95068.0	21383.0	21165.0	74680.0	1.0	2.0	5632.0	8.0	3.0	9788.0	5.0	3.0	12896.0	58472.0
19	71176056.0	0.0	4294902800.0	72586.0	115290.0	122064.0	262122.0	262143.0	140004.0	29952.0	40181.0	102788.0	48.0	45.0	58312.0	25.0	23.0	37408.0	156.0	183.0	87292.0	142352.0
20	71178150.0	0.0	4294902800.0	57593.0	92068.0	126856.0	254933.0	262143.0	123876.0	37666.0	49975.0	100824.0	64.0	63.0	61404.0	28.0	12.0	31384.0	122.0	138.0	65492.0	142356.0
21	71178776.0	0.0	4294902800.0	51342.0	90349.0	139412.0	200780.0	262143.0	118660.0	33619.0	43794.0	99324.0	94.0	107.0	77976.0	30.0	45.0	92648.0	105.0	145.0	96924.0	142358.0
22	71191580.0	0.0	4294902800.0	71940.0	121733.0	128492.0	262122.0	262143.0	139388.0	43641.0	56105.0	97344.0	67.0	74.0	70532.0	35.0	37.0	44508.0	92.0	113.0	86724.0	142383.0
23	71211290.0	0.0	4294902800.0	79933.0	138023.0	132316.0	262122.0	262143.0	129912.0	40046.0	53533.0	102512.0	95.0	117.0	91592.0	50.0	42.0	53640.0	231.0	344.0	110364.0	142423.0
28	71240530.0	0.0	4294902800.0	76633.0	171202.0	174296.0	262122.0	262143.0	186708.0	51864.0	80689.0	118740.0	73.0	101.0	90940.0	47.0	76.0	66780.0	4446.0	6848.0	123260.0	142481.0
29	72897910.0	0.0	4294902800.0	76860.0	127457.0	124148.0	262122.0	262143.0	116004.0	31393.0	41346.0	101552.0	50.0	62.0	80536.0	33.0	19.0	40292.0	336.0	460.0	99480.0	145796.0
38	89707140.0	0.0	4294902800.0	79936.0	106057.0	100660.0	262122.0	262143.0	92232.0	58183.0	60250.0	78692.0	7.0	5.0	18716.0	14.0	9.0	15488.0	1.0	1.0	4436.0	179414.0
56	142653400.0	0.0	4294902800.0	86773.0	166385.0	155020.0	262122.0	262143.0	164228.0	51961.0	72713.0	106924.0	100.0	119.0	79744.0	57.0	87.0	103128.0	104.0	118.0	77324.0	285307.0
