	TLSW	TMSW	Event Info	FSC 488/10-H	FSC 488/10-A	FSC 488/10-W	FSC 405/10 (spd)-H	FSC 405/10 (spd)-A	FSC 405/10 (spd)-W	SSC 488/10-H	SSC 488/10-A	SSC 488/10-W	IFNL1-H	IFNL1-A	IFNL1-W	IFNB1-H	IFNB1-A	IFNB1-W	M2-H	M2-A	M2-W	TIME
16	60785464.0	0.0	4294902800.0	74786.0	125712.0	135500.0	262122.0	262143.0	136724.0	35087.0	46399.0	101180.0	81.0	86.0	67928.0	44.0	43.0	54992.0	59.0	42.0	23040.0	121571.0
17	60787616.0	0.0	4294902800.0	78162.0	118153.0	116084.0	262122.0	262143.0	129048.0	35891.0	47076.0	99840.0	64.0	64.0	75244.0	30.0	38.0	73592.0	2293.0	3582.0	123768.0	121575.0
18	60794530.0	0.0	4294902800.0	72429.0	137405.0	162448.0	262122.0	262143.0	159144.0	42285.0	62565.0	113440.0	86.0	110.0	91624.0	34.0	48.0	88564.0	82.0	125.0	101292.0	121589.0
19	60797836.0	0.0	4294902800.0	77721.0	137757.0	136432.0	262122.0	262143.0	141564.0	55070.0	77345.0	106916.0	69.0	85.0	81216.0	39.0	34.0	56396.0	1220.0	2122.0	132492.0	121596.0
20	60800080.0	0.0	4294902800.0	73583.0	113839.0	120204.0	262122.0	262143.0	132180.0	26501.0	31484.0	89776.0	34.0	32.0	49864.0	13.0	10.0	20840.0	19.0	20.0	44524.0	121600.0
21	60800770.0	0.0	4294902800.0	67468.0	116157.0	137804.0	262122.0	262143.0	137052.0	43491.0	59479.0	104756.0	52.0	61.0	82456.0	39.0	37.0	36376.0	41.0	65.0	90404.0	121602.0
22	60812070.0	0.0	4294902800.0	66714.0	104771.0	121408.0	262122.0	262143.0	114956.0	30294.0	37972.0	95416.0	59.0	64.0	67160.0	34.0	41.0	71344.0	45.0	48.0	52800.0	121624.0
23	60825744.0	0.0	4294902800.0	61699.0	106116.0	135660.0	262122.0	262143.0	115220.0	32265.0	41848.0	98956.0	50.0	49.0	48880.0	33.0	24.0	18416.0	86.0	93.0	72344.0	121651.0
24	60827750.0	0.0	4294902800.0	72843.0	123193.0	130876.0	262122.0	262143.0	136276.0	31513.0	41954.0	101652.0	45.0	50.0	71540.0	16.0	11.0	14556.0	59.0	51.0	38224.0	121656.0
26	60860564.0	0.0	4294902800.0	72781.0	129962.0	139700.0	262122.0	262143.0	146832.0	40747.0	53026.0	98476.0	29.0	26.0	59292.0	15.0	20.0	46772.0	19.0	11.0	20332.0	121721.0
27	60862800.0	0.0	4294902800.0	63933.0	107885.0	133216.0	262122.0	262143.0	129736.0	38402.0	51298.0	101332.0	62.0	57.0	58640.0	20.0	20.0	52920.0	144.0	164.0	73200.0	121726.0
28	60870040.0	0.0	4294902800.0	70263.0	174022.0	223868.0	262122.0	262143.0	232884.0	41058.0	96854.0	197356.0	51.0	116.0	181860.0	34.0	71.0	139028.0	42.0	90.0	62488.0	121740.0
29	60873104.0	0.0	4294902800.0	65703.0	170264.0	212092.0	262122.0	262143.0	207408.0	44720.0	89992.0	168232.0	53.0	101.0	98412.0	18.0	30.0	80408.0	51.0	67.0	51328.0	121746.0
58	128632660.0	0.0	4294902800.0	74435.0	122090.0	130328.0	262122.0	262143.0	123548.0	30364.0	38441.0	96784.0	52.0	57.0	56636.0	27.0	18.0	22860.0	81.0	95.0	75528.0	257265.0
59	128642320.0	0.0	4294902800.0	85885.0	139994.0	119468.0	262122.0	262143.0	143268.0	33601.0	45612.0	104400.0	59.0	71.0	64756.0	17.0	19.0	35156.0	35.0	53.0	88556.0	257285.0
60	128645010.0	0.0	4294902800.0	62516.0	113619.0	139924.0	262122.0	262143.0	143176.0	33305.0	46980.0	108964.0	57.0	64.0	73572.0	30.0	40.0	40480.0	103.0	144.0	94124.0	257290.0
61	128645440.0	0.0	4294902800.0	61717.0	105482.0	137848.0	221050.0	262143.0	147468.0	44498.0	57442.0	98020.0	91.0	101.0	86308.0	42.0	57.0	64748.0	66.0	77.0	64444.0	257291.0
62	128649700.0	0.0	4294902800.0	67545.0	113337.0	134744.0	262122.0	262143.0	135604.0	34879.0	44358.0	96720.0	37.0	51.0	85612.0	30.0	25.0	36832.0	31.0	20.0	36708.0	257299.0
63	128651140.0	0.0	4294902800.0	63811.0	117025.0	144532.0	262122.0	262143.0	143560.0	38143.0	48190.0	95820.0	59.0	60.0	64316.0	43.0	30.0	24616.0	3323.0	5086.0	117592.0	257302.0
64	128659890.0	0.0	4294902800.0	68411.0	100734.0	108132.0	262122.0	262143.0	122432.0	30635.0	39403.0	99036.0	37.0	33.0	33168.0	16.0	15.0	40796.0	50.0	82.0	59804.0	257320.0
65	128661460.0	0.0	4294902800.0	69475.0	113961.0	125720.0	262122.0	262143.0	124240.0	41541.0	52899.0	96284.0	47.0	43.0	53632.0	22.0	33.0	86232.0	32.0	29.0	50424.0	257323.0
66	128666056.0	0.0	4294902800.0	80901.0	139938.0	132144.0	262122.0	262143.0	165632.0	53433.0	74563.0	106952.0	97.0	110.0	79284.0	49.0	61.0	92692.0	38.0	48.0	56608.0	257332.0
67	128676260.0	0.0	4294902800.0	63825.0	115776.0	146620.0	262122.0	262143.0	140308.0	31092.0	40042.0	98280.0	67.0	77.0	72772.0	34.0	35.0	50936.0	27.0	23.0	50768.0	257353.0
68	128677730.0	0.0	4294902800.0	83964.0	147809.0	138800.0	262122.0	262143.0	154572.0	65201.0	90955.0	106672.0	101.0	117.0	78744.0	44.0	48.0	69260.0	103.0	86.0	33248.0	257355.0
69	128680104.0	0.0	4294902800.0	55440.0	87960.0	129892.0	262122.0	262143.0	143196.0	29633.0	36942.0	94340.0	41.0	42.0	73884.0	11.0	6.0	19372.0	33.0	35.0	42472.0	257360.0
70	128694136.0	0.0	4294902800.0	57297.0	159097.0	226340.0	262122.0	262143.0	202992.0	34246.0	65351.0	157180.0	72.0	102.0	75728.0	43.0	65.0	90496.0	4868.0	9588.0	149988.0	257388.0
71	128697310.0	0.0	4294902800.0	82908.0	146174.0	142712.0	262122.0	262143.0	158368.0	50760.0	70274.0	105964.0	101.0	124.0	89116.0	52.0	72.0	96140.0	1171.0	1895.0	123548.0	257395.0
72	128702710.0	0.0	4294902800.0	81752.0	118490.0	112360.0	262122.0	262143.0	106504.0	29818.0	37196.0	95056.0	49.0	62.0	71848.0	18.0	25.0	52792.0	25.0	16.0	41044.0	257405.0
74	128713260.0	0.0	4294902800.0	93823.0	148570.0	121576.0	262122.0	262143.0	140764.0	75765.0	96880.0	96796.0	85.0	90.0	69600.0	29.0	29.0	61060.0	59.0	64.0	63764.0	257427.0
75	128716430.0	0.0	4294902800.0	51958.0	93344.0	145688.0	262122.0	262143.0	144420.0	30483.0	41065.0	103144.0	46.0	47.0	58000.0	29.0	23.0	24428.0	25.0	26.0	20432.0	257433.0
77	128736940.0	0.0	4294902800.0	70901.0	121087.0	136500.0	262122.0	262143.0	139056.0	31404.0	40444.0	98532.0	36.0	34.0	53792.0	12.0	17.0	25084.0	39.0	44.0	55108.0	257474.0
78	132085140.0	0.0	4294902800.0	83716.0	134472.0	125068.0	262122.0	262143.0	126192.0	33401.0	40592.0	92316.0	59.0	54.0	72428.0	20.0	17.0	39068.0	40.0	45.0	60372.0	264170.0
98	195694220.0	0.0	4294902800.0	75239.0	129101.0	129072.0	262122.0	262143.0	139380.0	36347.0	49549.0	103824.0	119.0	139.0	83504.0	55.0	69.0	95896.0	68.0	84.0	83692.0	391388.0
99	195694900.0	0.0	4294902800.0	80159.0	141326.0	142620.0	262122.0	262143.0	135472.0	44733.0	59389.0	101268.0	78.0	101.0	79796.0	34.0	40.0	37448.0	70.0	95.0	96760.0	391390.0
101	195706900.0	0.0	4294902800.0	77618.0	135411.0	140296.0	262122.0	262143.0	146752.0	45918.0	60893.0	100536.0	52.0	61.0	77812.0	33.0	20.0	26236.0	57.0	47.0	35536.0	391414.0
102	195717440.0	0.0	4294902800.0	85075.0	160677.0	158496.0	262122.0	262143.0	163732.0	46270.0	64323.0	104408.0	74.0	80.0	78380.0	34.0	36.0	71084.0	73.0	75.0	49164.0	391435.0
104	195738620.0	0.0	4294902800.0	75242.0	169234.0	186400.0	262122.0	262143.0	186604.0	43953.0	87341.0	164700.0	56.0	110.0	147056.0	68.0	125.0	131988.0	12644.0	31286.0	199300.0	391477.0
105	195780860.0	0.0	4294902800.0	84096.0	169649.0	162796.0	262122.0	262143.0	161300.0	62084.0	100133.0	124500.0	82.0	123.0	113252.0	39.0	55.0	73392.0	39.0	39.0	52892.0	391562.0
107	196139790.0	0.0	4294902800.0	81713.0	145954.0	142284.0	262122.0	262143.0	133872.0	40576.0	54459.0	102208.0	64.0	76.0	69196.0	25.0	27.0	15400.0	61.0	86.0	111424.0	392280.0
108	197128130.0	0.0	4294902800.0	84935.0	158095.0	152012.0	262122.0	262143.0	145024.0	50446.0	65240.0	98240.0	62.0	70.0	86764.0	28.0	37.0	50764.0	55.0	63.0	59276.0	394256.0
109	197179490.0	0.0	4294902800.0	82707.0	145116.0	135344.0	262122.0	262143.0	144000.0	40671.0	53903.0	100624.0	38.0	52.0	86216.0	21.0	18.0	26612.0	41.0	40.0	46420.0	394359.0
111	199344180.0	0.0	4294902800.0	82996.0	128856.0	117816.0	262122.0	262143.0	122744.0	27817.0	34855.0	94604.0	61.0	63.0	63072.0	28.0	19.0	39748.0	87.0	76.0	48492.0	398688.0
114	209516020.0	0.0	4294902800.0	96901.0	98185.0	75024.0	262122.0	262143.0	87616.0	20445.0	20639.0	76368.0	0.0	1.0	2976.0	0.0	1.0	3520.0	1.0	1.0	7096.0	419032.0
119	228971780.0	0.0	4294902800.0	96052.0	154755.0	119284.0	262122.0	262143.0	154984.0	51984.0	75018.0	110056.0	44.0	48.0	71140.0	22.0	24.0	49468.0	99.0	138.0	94528.0	457944.0
120	232125970.0	0.0	4294902800.0	77376.0	109119.0	107144.0	262122.0	262143.0	121292.0	21075.0	26599.0	96360.0	386.0	433.0	82320.0	4.0	2.0	6396.0	165.0	215.0	96444.0	464252.0
129	246679100.0	0.0	4294902500.0	85790.0	132577.0	114072.0	262122.0	262143.0	129944.0	29555.0	36754.0	94600.0	45.0	52.0	77400.0	17.0	24.0	37100.0	33.0	36.0	56692.0	493358.0
130	246700320.0	0.0	4294902500.0	67420.0	131748.0	160092.0	262122.0	262143.0	166660.0	46914.0	64100.0	103772.0	51.0	62.0	83540.0	104.0	135.0	89276.0	27615.0	48892.0	138480.0	493401.0
131	246716600.0	0.0	4294902500.0	80930.0	124964.0	115500.0	262122.0	262143.0	110176.0	28251.0	36405.0	98496.0	92.0	83.0	63044.0	32.0	39.0	77804.0	89.0	130.0	102168.0	493433.0
132	246722200.0	0.0	4294902500.0	65170.0	108889.0	128504.0	262122.0	262143.0	135348.0	26926.0	33576.0	93752.0	24.0	26.0	29788.0	11.0	3.0	9184.0	17.0	10.0	14696.0	493444.0
134	246741220.0	0.0	4294902500.0	77665.0	150262.0	151496.0	262122.0	262143.0	176464.0	41297.0	64687.0	121324.0	32.0	34.0	58580.0	18.0	12.0	37144.0	30.0	20.0	37700.0	493482.0
135	246744260.0	0.0	4294902500.0	71951.0	129538.0	138816.0	262122.0	262143.0	142220.0	32335.0	45496.0	108276.0	22.0	16.0	37784.0	30.0	21.0	29164.0	10.0	3.0	10032.0	493488.0
136	246752450.0	0.0	4294902500.0	63500.0	97283.0	119264.0	262122.0	262143.0	130668.0	25118.0	31503.0	95000.0	14.0	17.0	39600.0	8.0	5.0	24084.0	29.0	29.0	24032.0	493505.0
138	248025260.0	0.0	4294902500.0	92217.0	151994.0	130776.0	262122.0	262143.0	146764.0	36816.0	48191.0	100272.0	48.0	54.0	71732.0	22.0	23.0	37224.0	56.0	53.0	49892.0	496051.0
139	248638530.0	0.0	4294902500.0	79188.0	126993.0	117808.0	262122.0	262143.0	131616.0	31644.0	40315.0	96584.0	69.0	74.0	69212.0	29.0	30.0	26008.0	45.0	34.0	40852.0	497277.0
140	252014610.0	0.0	4294902500.0	72742.0	114900.0	123980.0	262122.0	262143.0	124140.0	23596.0	29524.0	95492.0	39.0	37.0	50204.0	21.0	16.0	40032.0	28.0	29.0	34144.0	504029.0
141	252410190.0	0.0	4294902500.0	79726.0	138883.0	135096.0	262122.0	262143.0	149804.0	33839.0	46087.0	103320.0	68.0	82.0	73980.0	36.0	39.0	73012.0	4162.0	6891.0	132348.0	504820.0
142	253704850.0	0.0	4294902500.0	72129.0	119718.0	129680.0	262122.0	262143.0	141396.0	40062.0	54684.0	104252.0	57.0	53.0	42892.0	19.0	16.0	23416.0	47.0	44.0	54728.0	507410.0
150	292571330.0	0.0	4294902500.0	72896.0	104388.0	110072.0	261828.0	262143.0	101496.0	25750.0	30881.0	91396.0	71.0	70.0	62296.0	27.0	37.0	84624.0	45.0	38.0	33636.0	585143.0
151	299274240.0	0.0	4294901800.0	79598.0	134687.0	132336.0	262122.0	262143.0	126308.0	46403.0	60817.0	99252.0	79.0	82.0	69568.0	42.0	43.0	37252.0	53.0	65.0	77864.0	598548.0
152	299502300.0	0.0	4294901800.0	88394.0	146957.0	124680.0	262122.0	262143.0	141172.0	44215.0	58738.0	101004.0	83.0	101.0	78304.0	55.0	66.0	74592.0	1660.0	2144.0	94628.0	599005.0
