	TLSW	TMSW	Event Info	FSC 488/10-H	FSC 488/10-A	FSC 488/10-W	FSC 405/10 (spd)-H	FSC 405/10 (spd)-A	FSC 405/10 (spd)-W	SSC 488/10-H	SSC 488/10-A	SSC 488/10-W	IFNL1-H	IFNL1-A	IFNL1-W	IFNB1-H	IFNB1-A	IFNB1-W	M2-H	M2-A	M2-W	TIME
5	2030471.0	0.0	4294901800.0	72034.0	120731.0	135740.0	262122.0	262143.0	141632.0	28244.0	36678.0	98572.0	27.0	20.0	25592.0	58.0	67.0	68324.0	68.0	50.0	32612.0	4061.0
10	4290429.0	0.0	4294901800.0	78570.0	117534.0	119072.0	262122.0	262143.0	121472.0	25544.0	31753.0	93288.0	17.0	12.0	32972.0	20.0	29.0	71408.0	18.0	19.0	43016.0	8581.0
11	4356106.0	0.0	4294901800.0	80898.0	131681.0	122592.0	262122.0	262143.0	125480.0	43263.0	53333.0	93252.0	60.0	56.0	57288.0	41.0	44.0	60676.0	253.0	295.0	82468.0	8712.0
12	4370036.0	0.0	4294901800.0	81922.0	116406.0	103392.0	262122.0	262143.0	133056.0	30408.0	38732.0	96004.0	31.0	28.0	32136.0	34.0	40.0	69216.0	59.0	86.0	108544.0	8740.0
19	6764376.0	0.0	4294901800.0	66065.0	109127.0	126044.0	262122.0	262143.0	122248.0	26472.0	32422.0	92848.0	44.0	53.0	64388.0	65.0	71.0	70580.0	44.0	36.0	39516.0	13529.0
21	6944381.0	0.0	4294901800.0	62400.0	110156.0	153120.0	262122.0	262143.0	132376.0	29209.0	39858.0	104144.0	28.0	30.0	53168.0	33.0	39.0	59460.0	67.0	116.0	131404.0	13889.0
22	7247258.0	0.0	4294901800.0	64943.0	113777.0	141520.0	262122.0	262143.0	138296.0	30272.0	39688.0	100356.0	31.0	24.0	18168.0	24.0	22.0	22936.0	30.0	26.0	48604.0	14495.0
23	7267166.0	0.0	4294901800.0	67484.0	91616.0	101748.0	262122.0	262143.0	110884.0	26746.0	34300.0	96948.0	43.0	43.0	58768.0	14.0	6.0	12480.0	107.0	129.0	99156.0	14534.0
30	9586394.0	0.0	4294901800.0	84130.0	159214.0	150428.0	262122.0	262143.0	161176.0	48448.0	67176.0	105728.0	78.0	81.0	70012.0	105.0	118.0	73088.0	96.0	124.0	90404.0	19173.0
31	9614054.0	0.0	4294901800.0	67918.0	118032.0	129296.0	239935.0	262143.0	125120.0	41108.0	53671.0	98440.0	29.0	32.0	68352.0	27.0	33.0	51060.0	51.0	54.0	58084.0	19228.0
33	12245845.0	0.0	4294901800.0	77566.0	140585.0	143664.0	262122.0	262143.0	137220.0	47718.0	63256.0	100676.0	451.0	583.0	96384.0	379.0	462.0	92004.0	168.0	200.0	85644.0	24492.0
36	14168818.0	0.0	4294901800.0	66081.0	105437.0	120764.0	236148.0	262143.0	114796.0	27203.0	33405.0	92752.0	31.0	29.0	46280.0	41.0	34.0	55956.0	53.0	71.0	81456.0	28338.0
51	23972766.0	0.0	4294901800.0	77328.0	133838.0	129508.0	262122.0	262143.0	123812.0	28952.0	38447.0	100700.0	17.0	14.0	21668.0	45.0	43.0	39564.0	91.0	102.0	49268.0	47946.0
84	64494540.0	0.0	4294902800.0	74908.0	127734.0	135436.0	262122.0	262143.0	148604.0	58045.0	73989.0	96152.0	54.0	59.0	67532.0	70.0	82.0	70508.0	87.0	89.0	52020.0	128989.0
85	64500052.0	0.0	4294902800.0	53755.0	140029.0	206208.0	254567.0	262143.0	178556.0	43364.0	92608.0	171764.0	63.0	101.0	104644.0	84.0	151.0	130192.0	787.0	1211.0	128320.0	129000.0
86	64508508.0	0.0	4294902800.0	66589.0	130463.0	158328.0	262122.0	262143.0	154744.0	64561.0	88006.0	103716.0	80.0	102.0	88312.0	72.0	77.0	76804.0	78.0	110.0	101416.0	129017.0
87	64511104.0	0.0	4294902800.0	67665.0	119835.0	139928.0	262122.0	262143.0	147044.0	49779.0	65918.0	100304.0	61.0	61.0	65744.0	50.0	74.0	88924.0	29.0	37.0	64032.0	129022.0
89	64553200.0	0.0	4294902800.0	72776.0	127026.0	137392.0	262122.0	262143.0	131736.0	38759.0	50947.0	99940.0	51.0	47.0	53236.0	36.0	46.0	53496.0	112.0	142.0	86332.0	129106.0
91	64558400.0	0.0	4294902800.0	58193.0	146795.0	196496.0	251457.0	262143.0	168928.0	52101.0	100344.0	151236.0	54.0	73.0	89032.0	67.0	122.0	84940.0	52.0	76.0	93724.0	129117.0
92	64594590.0	0.0	4294902800.0	78771.0	141232.0	137668.0	262122.0	262143.0	150588.0	47256.0	64993.0	104516.0	73.0	67.0	53736.0	60.0	72.0	77884.0	67.0	101.0	102156.0	129189.0
95	64602476.0	0.0	4294902800.0	65327.0	119638.0	143328.0	262122.0	262143.0	142220.0	55232.0	79640.0	110404.0	47.0	50.0	70204.0	110.0	140.0	95076.0	135.0	206.0	102308.0	129205.0
96	64604996.0	0.0	4294902800.0	74456.0	166285.0	185768.0	262122.0	262143.0	184356.0	54232.0	106911.0	156436.0	69.0	121.0	71948.0	71.0	127.0	103196.0	280.0	379.0	91212.0	129210.0
97	64615750.0	0.0	4294902800.0	70003.0	140751.0	171028.0	262122.0	262143.0	164208.0	43797.0	70341.0	123584.0	52.0	48.0	60708.0	71.0	89.0	76332.0	59.0	79.0	80912.0	129232.0
98	64642030.0	0.0	4294902800.0	71601.0	144524.0	169352.0	262122.0	262143.0	161488.0	57028.0	91082.0	122620.0	134.0	176.0	98124.0	225.0	319.0	110544.0	191.0	329.0	138680.0	129284.0
99	64645556.0	0.0	4294902800.0	87280.0	146040.0	127156.0	262122.0	262143.0	153152.0	48013.0	65495.0	103616.0	65.0	69.0	78184.0	75.0	84.0	79360.0	88.0	122.0	90100.0	129291.0
101	64661850.0	0.0	4294902800.0	63692.0	113262.0	136540.0	262122.0	262143.0	129248.0	37172.0	50052.0	101880.0	39.0	43.0	72924.0	41.0	50.0	84960.0	15.0	13.0	47000.0	129324.0
109	64686370.0	0.0	4294902800.0	59259.0	107026.0	140928.0	262122.0	262143.0	136208.0	34023.0	45989.0	103404.0	28.0	33.0	68368.0	35.0	40.0	51428.0	27.0	15.0	17320.0	129373.0
113	64699870.0	0.0	4294902800.0	69418.0	155911.0	181776.0	262122.0	262143.0	185828.0	37282.0	78724.0	167988.0	49.0	82.0	106736.0	66.0	122.0	136216.0	88.0	182.0	152764.0	129400.0
