""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"PB1_vRNA_100.0:100.0"	390.643526806361	0.0269393373825598	0.482660618650295	0.0558142436768357	0.955489787819474	0.999996530078554
"PB1_vRNA_100.0:1022.0"	7.39989025917808	-1.44337859428122	2.59120625594288	-0.557029603865327	0.577507202948901	0.999996530078554
"PB1_vRNA_100.0:1072.0"	4.56693848532341	-1.04262207459275	2.87729582990469	-0.362361792540214	0.717081687286276	0.999996530078554
"PB1_vRNA_100.0:1122.0"	1.50529011378673	-2.49827106922695	3.93429741651952	-0.634998019910005	0.525429706413919	0.999996530078554
"PB1_vRNA_100.0:1169.0"	8.80013016017956	-1.53140573930662	2.8438217444806	-0.538502718139362	0.590230029072307	0.999996530078554
"PB1_vRNA_100.0:125.0"	1972.22913837877	0.0619271218412682	0.538557331519341	0.114987055633545	0.908455382092833	0.999996530078554
"PB1_vRNA_100.0:1269.0"	5.51067823216311	-2.67287736279718	2.83057250173941	-0.944288606334823	0.345022186645468	0.999996530078554
"PB1_vRNA_100.0:1369.0"	38.1772790051438	-0.79090570083335	3.07357933147562	-0.257323991196166	NA	NA
"PB1_vRNA_100.0:1469.0"	11.0315379568656	3.61372175774669	3.77384348359387	0.957570650043309	0.338279304910415	0.999996530078554
"PB1_vRNA_100.0:150.0"	36659.7816815275	-0.0192128223797065	0.530650664622222	-0.0362061590809171	0.971117974974677	0.999996530078554
"PB1_vRNA_100.0:1569.0"	1.19746080043876	-2.19059023000887	3.94081186764618	-0.555872826103038	0.57829779591925	0.999996530078554
"PB1_vRNA_100.0:1669.0"	7.62315452168217	-2.35674654675109	3.77704723240288	-0.623965336343378	0.532650350045001	0.999996530078554
"PB1_vRNA_100.0:175.0"	6372.44124857238	0.0272854297347689	0.491368555287535	0.0555294583691914	0.955716661764814	0.999996530078554
"PB1_vRNA_100.0:200.0"	6041.91060991194	0.187806263303308	0.710740396328647	0.26424031091159	0.791594750946405	0.999996530078554
"PB1_vRNA_100.0:225.0"	4574.99953577654	0.138720249278384	0.697316690131026	0.198934359727312	0.842314091469194	0.999996530078554
"PB1_vRNA_100.0:250.0"	6848.1332816036	-0.0680301300780089	1.17532726183504	-0.0578818617478447	0.953842731124722	0.999996530078554
"PB1_vRNA_100.0:275.0"	3458.33324528237	0.0819363561867416	0.51750521221481	0.158329528384983	0.87419714130959	0.999996530078554
