HA_vRNA	66	791	+
HA_vRNA	68	833	+
HA_vRNA	75	115	+
HA_vRNA	79	312	+
HA_vRNA	79	175	+
HA_vRNA	77	144	+
HA_vRNA	82	149	+
HA_vRNA	81	824	+
HA_vRNA	83	822	+
HA_vRNA	83	149	+
HA_vRNA	87	873	+
HA_vRNA	91	658	+
HA_vRNA	94	452	+
HA_vRNA	92	1006	+
HA_vRNA	91	116	+
HA_vRNA	94	158	+
HA_vRNA	92	1637	+
HA_vRNA	95	1457	+
HA_vRNA	95	1562	+
HA_vRNA	100	164	+
HA_vRNA	100	622	+
HA_vRNA	99	776	+
HA_vRNA	103	1384	+
HA_vRNA	105	847	+
HA_vRNA	107	171	+
HA_vRNA	107	773	+
HA_vRNA	114	829	+
HA_vRNA	112	1563	+
HA_vRNA	114	217	+
HA_vRNA	125	1553	+
HA_vRNA	130	1571	+
HA_vRNA	131	1391	+
HA_vRNA	131	1553	+
HA_vRNA	130	1578	+
HA_vRNA	165	1157	+
HA_vRNA	164	1159	+
HA_vRNA	164	1227	+
HA_vRNA	163	655	+
HA_vRNA	169	874	+
HA_vRNA	172	1166	+
HA_vRNA	168	675	+
HA_vRNA	172	1537	+
HA_vRNA	175	1168	+
HA_vRNA	176	255	+
HA_vRNA	177	1210	+
HA_vRNA	179	644	+
HA_vRNA	184	707	+
HA_vRNA	184	555	+
HA_vRNA	189	403	+
HA_vRNA	188	544	+
HA_vRNA	185	1460	+
HA_vRNA	190	561	+
HA_vRNA	186	650	+
HA_vRNA	187	650	+
HA_vRNA	190	1163	+
HA_vRNA	189	653	+
HA_vRNA	194	706	+
HA_vRNA	192	1137	+
HA_vRNA	200	664	+
HA_vRNA	194	670	+
HA_vRNA	196	677	+
HA_vRNA	192	1070	+
HA_vRNA	196	459	+
HA_vRNA	194	1598	+
HA_vRNA	203	1185	+
HA_vRNA	205	544	+
HA_vRNA	208	1189	+
HA_vRNA	213	631	+
HA_vRNA	206	245	+
HA_vRNA	213	539	+
