"FSC-A","SSC-A","APC-A","BV421-A","FITC-A","Time"
40646.8,44492.6,432.727,275.221,228.079,2.22104e-05
63693.8,30066.2,215.452,479.037,247.807,0.0039466
73066.4,38383.4,881.87,1204.16,213.35,0.01482
39278.4,26485.5,34.5277,357.412,104.907,0.0162022
89786.9,28542.7,427.978,308.604,196.803,0.0162673
56168,26968.1,1403.06,349.576,181.646,0.0231123
75346,33545.8,150.968,270.363,182.147,0.0331559
63723.9,41994,525.311,453.634,310.637,0.0584882
86217.2,51417,240.4,455.893,251.916,0.0606354
25717.8,59909.2,118491,10154.9,345.697,0.0675938
63208.9,38044.6,16087.8,1380.67,300.876,0.0778667
95580.7,53843.6,49.4395,599.968,302.562,0.079952
35130.5,20453.4,6.78028,222.839,123.055,0.0819499
80167.4,52315.8,1121.3,675.463,405.013,0.0847676
41541.7,28544.7,498.359,340.047,209.074,0.087208
119014,81567.6,1174.1,624.018,444.77,0.0881938
70025.9,40657.1,459.147,345.966,196.731,0.0894509
75652.8,36555.3,1408.13,453.024,251.137,0.0897042
25277,39432.2,208648,5432.47,218.975,0.0907731
64649.1,25825.5,16933.8,1128.68,167.889,0.0912092
56050.7,40522.6,34900.9,2945.8,223.813,0.0956062
31879.2,23430.2,121.943,299.821,172.119,0.108256
96571.3,59577.6,7358.98,4527.7,282.084,0.111603
80004.9,53021.5,2764.86,368.276,278.065,0.113428
108338,72540.1,1538.68,498.146,381.187,0.115756
40509,21604.9,27.2277,303.838,109.611,0.128859
62528.7,28102.3,221.875,405.858,170.112,0.129452
90027.8,39309.7,230.063,319.313,286.734,0.137372
22957.6,26136.5,43.6403,437.49,144.826,0.139303
73750.9,55177.4,1097.14,323.753,303.967,0.141495
90596.3,46155.6,22186.2,1834.7,244.901,0.150802
69513.9,34878.5,51.9767,219.975,182.004,0.152835
68495.2,24740.6,64.5257,256.527,179.57,0.160842
49977.2,22827.5,53.5819,282.215,148.279,0.164099
48223.9,26429.9,13.4058,181.977,138.057,0.166867
57660.1,30816.3,84.3015,448.014,201.586,0.167061
48312.1,51845.7,474.664,179.221,251.066,0.170267
89401.3,68523.1,1072.44,419.454,355.25,0.171013
87049.9,42564,492.159,444.223,312.181,0.171803
59234.5,37769.6,304.054,281.711,206.722,0.172754
56496.9,49082.8,26104.7,5045.91,372.021,0.173248
53284.1,26141.2,89.6392,471.13,226.373,0.176852
70463.3,51334,326370,6327.92,312.181,0.177721
46276.2,24752,490.028,374.723,143.53,0.179504
117136,94289.6,241.482,793.685,633.257,0.181025
96142.4,48052.9,5931.61,896.693,241.427,0.181234
41744,38247.2,9715.08,1303.69,235.608,0.184423
78324.3,39145.1,41580.3,1650.74,249.508,0.185178
60633.3,51930.3,1491.67,394.758,246.177,0.189079
51639.3,30782.8,138.666,392.968,275.807,0.200549
57823.3,24721.1,345.048,247.03,151.516,0.204215
36682.3,13586.6,2512.62,262.849,103.821,0.205661
62506.7,38246,50.8376,417.057,204.796,0.209225
62052.3,43628.2,130.564,201.102,215.842,0.209297
65759,42063.1,7934.63,7769.04,312.321,0.209937
78765.3,57708.9,161190,3070.74,317.44,0.216603
75109.7,50761.7,905.35,523.939,285.889,0.219072
59419.3,28692.3,163.887,306.41,173.839,0.221093
76081.8,40642.7,23218.9,1772.57,262.812,0.222326
114495,54081.1,2456.99,645.542,365.485,0.226066
53722.1,30121.7,32059.9,8411.7,193.302,0.230658
30909.9,18640.8,526.734,408.752,118.504,0.232813
93559.4,41078.2,1270.46,322.941,311.97,0.241153
109725,40749.4,72.3846,399.324,307.057,0.255921
91295.4,46364.7,1157.59,354.49,252.907,0.2601
72219.6,63406.4,45200.5,8586.59,382.991,0.262428
59692.2,50712,179.264,553.502,276.231,0.265009
100866,40160.3,95.3768,385.801,263.378,0.275853
51463.4,40658.7,213.672,227.673,301.789,0.276614
37912.8,24339.8,76.564,194.713,168.319,0.284174
49043.6,29019.2,1356.73,314.431,181.216,0.285565
106984,67407.3,926.345,433.875,390.271,0.292934
30655.4,44285.8,2431.8,279.255,241.923,0.297565
51988.3,42776.1,48.6628,267.018,306.917,0.300585
99336.1,46769.1,249.978,380.976,274.537,0.303839
49319.1,23964.5,331.588,375.59,153.385,0.306181
48505.6,36882.3,321.754,411.707,208.932,0.308788
105126,66160.8,3432.14,939.748,468.625,0.310915
102749,63563,178.516,452.535,323.746,0.317605
58209.5,31277.4,248.408,338.925,187.298,0.319358
65673.5,45446.9,122.044,311.048,261.752,0.323939
96046.4,42601.2,50.8894,373.917,319.192,0.328152
43660.8,25352.4,71.7727,438.899,148.351,0.333833
40281.1,25319.4,304.878,310.108,106.717,0.338686
119368,57337.4,1206.99,392.721,356.644,0.339066
79520.5,44385.9,311.026,396.486,244.476,0.34063
109818,51949.9,167.936,467.173,406.395,0.343549
58236.2,42632.5,480.241,388.459,280.251,0.34637
64359.5,28302.8,24.3286,218.766,194.446,0.347013
89262.5,42197.5,45.2454,277.427,262.742,0.350491
125164,53357.5,88.9786,464.005,331.584,0.353267
112473,68497.4,1115.16,348.456,459.862,0.35947
79661.9,50635.6,327.638,355.05,221.679,0.36048
54388.8,31702.2,16.8223,337.366,178.209,0.360739
92897.5,72306.5,31804.2,389.818,361.588,0.363454
98464.3,61907.6,484.419,395.19,340.391,0.364774
66376.8,35077.3,609.899,233.328,257.013,0.367314
48727.4,51918.7,1853.86,352.562,286.734,0.367887
92922.1,54404.7,179.413,546.007,306.917,0.370493
53504,47680.7,1528.79,602.046,240.15,0.371152
83638.6,45291.4,28.3149,370.013,249.295,0.373892
103918,42547,49.2842,320.439,297.783,0.374406
95828.6,53830.5,76.4621,434.059,369.588,0.379746
76192.8,55690.1,772.994,2643.48,255.526,0.38068
62106.1,30079.4,252.921,285.426,166.454,0.381642
48546.5,25999.1,188.375,269.101,147.344,0.381843
52773,70795.5,241475,6655.65,320.173,0.384009
69580.8,48430.4,1746.74,416.689,281.449,0.38578
52710.3,49916.5,10851,2262.39,290.396,0.391165
93898.1,38137.1,72.8945,159.96,184.866,0.392569
69651.3,44301.5,37.5306,251.147,210.642,0.393678
128917,69983.1,411.619,606.377,390.548,0.394718
76585.6,40222.9,21737.4,1247.41,255.456,0.395246
95698.3,50305,430.8,279.633,276.795,0.396721
127745,58765.9,371.556,422.71,427.507,0.397345
43529.6,62998.4,1057.92,553.263,377.994,0.398563
46479.4,33587.3,38.1519,283.475,175.559,0.400645
58685.2,27691.3,205.057,515.617,215.985,0.401322
52310.9,43216.9,40.6372,674.176,240.008,0.401444
46522.4,32808.4,243.497,332.125,188.085,0.413483
61297.7,36672.7,791.7,364.802,179.498,0.4139
77266.3,47575.3,114.216,386.728,391.518,0.415304
36137.9,22849.1,823.315,635.116,154.247,0.424599
76993,56180.5,620.811,641.893,325.916,0.428967
59760.2,36774.8,340.63,426.025,230.566,0.441259
73190.1,36981.3,76.3093,633.583,223.67,0.457173
52506,34605.8,157.632,276.355,189.658,0.459236
92150.2,44680.3,6343.63,334.995,290.607,0.463517
38464.4,36636.9,6984.61,371.067,243.909,0.464102
73997,84037.7,247837,16293.1,375.355,0.472079
88316.1,31808.8,528.431,377.881,239.582,0.480605
69256.3,43122.9,1222.87,994.856,217.409,0.481567
96737.4,66516.1,2659.83,418.348,355.111,0.486733
51140.7,28320,30.3341,270.616,190.301,0.497983
44206.4,30846.4,60.438,226.592,221.536,0.500574
88581.3,45223.5,5348.02,337.865,397.819,0.503568
69635,29501.8,142735,2705.49,187.441,0.503867
34465.6,29332.3,803.294,671.425,165.665,0.507717
82782.2,73945.7,572.779,371.067,385.349,0.512253
56886,30706.8,67.3339,273.013,203.441,0.515
25730.3,19775.4,10534.1,238.407,80.6617,0.517751
39212.1,42256.8,9057.73,295.613,213.635,0.521727
41917.6,24531.3,338.66,397.659,201.443,0.530055
44523,27279.6,108.248,260.321,186.082,0.531158
104750,48893,441.928,402.16,307.549,0.532281
56491.3,30469.9,8557.88,2581.17,198.231,0.537496
56675.5,27118.3,83.1824,365.36,161.574,0.538013
106939,56019.2,1048.67,330.564,270.019,0.544758
124738,76618.7,106.376,366.415,403.976,0.547876
56873.5,62500.8,1864.04,270.363,302.281,0.547893
69433.4,37590.5,469.778,253.3,222.888,0.552667
78216.7,41418.5,657.249,418.287,255.597,0.556125
56694.7,51413.6,2957.33,4389.84,300.454,0.557009
77075.6,39644.4,579.745,402.53,249.295,0.558239
50178.1,24734.8,208.376,322.19,112.577,0.558753
50940,43155.6,65061.2,8913.25,247.736,0.558777
82844.9,51625.4,73822.4,2641.43,293.985,0.560658
80269.8,61419.9,253.705,489.964,342.276,0.561336
58422.3,44474.4,201.041,337.615,242.633,0.567746
78915.6,43111.1,1373.49,414.106,261.893,0.585403
89793.3,41402.6,21.5331,406.781,278.84,0.58606
54151.4,25128.4,382.322,291.528,191.73,0.590336
116258,83142.1,1532.54,907.131,538.073,0.591376
95549.3,61061.5,150936,7315.14,409.988,0.593639
56561.8,38172,82.9789,408.383,260.125,0.595152
60189.2,33549.1,4467.85,526.891,128.973,0.595713
36088.1,20306.7,191.16,152.239,116.336,0.598312
79082.7,44676.3,14798.4,2252.14,268.112,0.60004
71656.3,46328.9,74.016,496.329,193.445,0.601161
90862.8,61919.6,142651,12319.2,314.425,0.601982
98618.8,62770.5,42.4494,497.358,406.464,0.609723
36872.4,27623.4,366.067,415.828,148.855,0.615934
91466.6,44589.2,101.361,456.015,264.155,0.624445
67842.5,33250,18650.7,3455.43,240.008,0.625052
31583.7,15941.3,863.65,208.251,130.993,0.627261
76919,35882.4,481.216,523.879,274.255,0.630158
125560,46224.6,1556.66,352.936,314.215,0.634861
49346.3,36907.6,118.813,238.66,237.383,0.644626
35409.4,25685.3,136.201,366.85,232.129,0.646442
116350,80078.6,85513.6,7915.29,409.228,0.646752
101777,56102.8,38.5144,319.813,314.846,0.648402
39164.4,27171.8,143.942,285.804,172.478,0.65714
69283,35661.6,549.396,390.189,267.83,0.659643
43920.9,39044.1,123191,4970.3,164.086,0.664771
28904.5,21326.1,174.876,211.439,151.228,0.670077
61949.9,28729.8,43.2261,452.841,189.229,0.670535
76388.8,34471.4,71.3647,316.372,217.622,0.675295
69562.9,53984.3,283.799,358.841,253.686,0.675675
23440.3,22947.9,6902.72,2299.48,95.9237,0.677664
90786.1,48908.3,484.14,445.629,310.006,0.681967
49682.9,41906.2,128.599,2525.57,188.299,0.682692
40134.3,25479.7,58.2906,301.14,152.019,0.682845
36287.4,32630.5,28.7809,356.79,215.985,0.693021
83241.3,58671.3,93.4481,240.69,306.706,0.695714
91337.4,71721.7,75.1883,338.613,362.284,0.700455
58348.1,26821,91.3155,284.041,147.848,0.700916
96768,49541.4,1248.88,512.598,331.444,0.704226
57415.9,31383.9,2346.31,350.323,157.05,0.710638
49037.8,29230.1,82.0121,351.567,168.391,0.712102
37525.9,40760.8,2141.13,278.057,239.086,0.723942
44432.6,19766.8,1340.9,404.132,131.425,0.729291
41857.2,20662.3,61.2558,423.447,142.45,0.733487
65356.4,37291.9,97.1525,240.564,226.515,0.740927
62919,33796.7,490.816,356.915,196.16,0.742163
54214.4,53337.4,117144,9501.98,244.901,0.744473
87200.1,44813.2,102.628,538.321,294.477,0.75232
76995.4,37056.3,87.0982,501.536,284.762,0.754877
82938.5,50106.6,188.475,351.256,299.259,0.759161
93475.6,42869.5,137.61,514.953,332.983,0.765228
21652.8,34762.3,48.9217,278.561,181.717,0.765635
72351,48593.2,148290,4101.81,234.188,0.766871
41244.5,33529.1,316.973,814.374,186.225,0.767223
123991,68109.3,4229.15,542.045,405.566,0.769921
82680.3,47409.8,1002.34,422.342,281.731,0.770743
28548,29975.5,1638.74,208.059,188.442,0.779718
