segment	left	right	count
PB1_vRNA	204	1868	3747
PB1_vRNA	260	1741	281
PB1_vRNA	260	1743	1
PB1_vRNA	446	1993	6959
PB1_vRNA	446	2023	416
PB1_vRNA	446	1968	2
PB1_vRNA	286	2140	9817
PB1_vRNA	286	2082	17
PB1_vRNA	286	2142	4
PB1_vRNA	178	1958	6181
PB1_vRNA	427	2019	2833
PB1_vRNA	385	2059	469
PB1_vRNA	473	1973	2585
PB1_vRNA	433	1939	2155
PB1_vRNA	433	1942	1
PB1_vRNA	302	2149	2674
PB1_vRNA	302	2181	13
PB1_vRNA	302	2139	48
PB1_vRNA	302	2150	4
PB1_vRNA	715	1976	190
PB1_vRNA	239	2074	2198
PB1_vRNA	239	2075	2
PB1_vRNA	275	330	1508
PB1_vRNA	275	332	3
PB1_vRNA	275	333	1
PB1_vRNA	465	1916	1977
PB1_vRNA	324	2153	3323
PB1_vRNA	324	2020	15
PB1_vRNA	324	337	12
PB1_vRNA	317	2062	474
PB1_vRNA	317	2153	2
PB1_vRNA	415	2082	1462
PB1_vRNA	415	1952	2282
PB1_vRNA	415	2140	6
PB1_vRNA	415	2062	2
PB1_vRNA	437	2049	597
PB1_vRNA	437	2027	553
PB1_vRNA	437	1992	343
PB1_vRNA	437	1991	1
PB1_vRNA	266	2181	449
PB1_vRNA	266	2195	1574
PB1_vRNA	258	2146	314
PB1_vRNA	258	2150	2
PB1_vRNA	258	2145	2
PB1_vRNA	244	1905	1407
PB1_vRNA	307	376	249
PB1_vRNA	307	2029	3
PB1_vRNA	307	1873	1
PB1_vRNA	407	2085	254
PB1_vRNA	313	1878	1322
PB1_vRNA	313	1880	2
PB1_vRNA	301	1995	202
PB1_vRNA	301	2148	1
PB1_vRNA	255	2058	62
PB1_vRNA	255	2154	122
PB1_vRNA	311	2153	449
PB1_vRNA	311	1876	2
PB1_vRNA	311	1878	1
PB1_vRNA	219	2207	405
PB1_vRNA	395	1984	106
PB1_vRNA	395	1176	4
PB1_vRNA	230	2183	1107
PB1_vRNA	230	2156	83
PB1_vRNA	327	2049	614
PB1_vRNA	327	2021	17
PB1_vRNA	327	2063	1
PB1_vRNA	233	2029	33
PB1_vRNA	233	852	7
PB1_vRNA	233	2144	6
PB1_vRNA	233	2152	2
PB1_vRNA	233	1189	4
PB1_vRNA	306	2023	77
PB1_vRNA	340	2131	15
PB1_vRNA	416	2016	314
PB1_vRNA	416	1953	1
PB1_vRNA	416	2083	1
PB1_vRNA	330	2074	247
PB1_vRNA	330	2115	2
PB1_vRNA	289	2197	269
PB1_vRNA	289	1877	227
PB1_vRNA	289	2115	19
PB1_vRNA	293	1488	39
PB1_vRNA	479	1927	406
PB1_vRNA	462	2023	48
PB1_vRNA	462	1912	2
