segment	left	right	count
PB2_vRNA	263	2183	5544
PB2_vRNA	610	1858	435
PB2_vRNA	448	1924	1211
PB2_vRNA	333	1932	213
PB2_vRNA	333	1490	2
PB2_vRNA	625	1788	75
PB2_vRNA	317	2156	4066
PB2_vRNA	317	2077	4
PB2_vRNA	261	2171	141
PB2_vRNA	550	1887	1189
PB2_vRNA	377	2059	10
PB2_vRNA	377	2043	32
PB2_vRNA	230	2169	11
PB2_vRNA	563	1918	38
PB2_vRNA	386	1565	2
PB2_vRNA	386	1237	2
PB2_vRNA	386	2075	11
PB2_vRNA	386	1149	3
PB2_vRNA	357	2260	42
PB2_vRNA	357	445	1
PB2_vRNA	357	1739	1
PB2_vRNA	350	2075	60
PB2_vRNA	360	2068	52
PB2_vRNA	332	1984	390
PB2_vRNA	525	1958	111
PB2_vRNA	217	287	38
PB2_vRNA	217	2206	2
PB2_vRNA	582	1897	151
PB2_vRNA	582	1856	4
PB2_vRNA	274	2141	147
PB2_vRNA	453	1951	57
PB2_vRNA	251	424	7
PB2_vRNA	251	1456	2
PB2_vRNA	688	1885	145
PB2_vRNA	368	2056	96
PB2_vRNA	170	2106	39
PB2_vRNA	210	280	20
PB2_vRNA	486	533	147
PB2_vRNA	391	2063	18
PB2_vRNA	391	1154	3
PB2_vRNA	204	2236	77
PB2_vRNA	204	2011	2
PB2_vRNA	204	2193	2
PB2_vRNA	229	2175	9
PB2_vRNA	502	1470	2
PB2_vRNA	267	2243	28
PB2_vRNA	267	2188	4
PB2_vRNA	791	943	3
PB2_vRNA	461	1943	111
PB2_vRNA	348	2128	55
PB2_vRNA	262	2159	57
PB2_vRNA	262	2182	3
PB2_vRNA	768	2200	1
PB2_vRNA	311	2174	5
PB2_vRNA	720	1739	43
PB2_vRNA	454	1906	24
PB2_vRNA	164	310	3
PB2_vRNA	890	1297	1
PB2_vRNA	584	1872	10
PB2_vRNA	402	2029	47
PB2_vRNA	402	2050	18
PB2_vRNA	119	184	1
PB2_vRNA	443	2023	6
PB2_vRNA	1072	1290	4
PB2_vRNA	124	627	2
PB2_vRNA	124	1467	3
PB2_vRNA	600	651	5
PB2_vRNA	600	643	4
PB2_vRNA	1071	2166	7
PB2_vRNA	161	212	2
PB2_vRNA	275	2206	29
PB2_vRNA	383	2055	8
PB2_vRNA	790	969	2
PB2_vRNA	790	1242	2
PB2_vRNA	433	1999	5
PB2_vRNA	885	2053	2
PB2_vRNA	340	1939	5
PB2_vRNA	265	302	18
PB2_vRNA	227	2269	10
PB2_vRNA	1148	1197	2
PB2_vRNA	315	2154	2
PB2_vRNA	98	526	2
PB2_vRNA	841	1690	2
PB2_vRNA	612	1889	21
PB2_vRNA	136	366	6
PB2_vRNA	318	422	2
PB2_vRNA	987	1288	2
PB2_vRNA	707	793	3
PB2_vRNA	707	1156	2
PB2_vRNA	389	1999	2
PB2_vRNA	389	2043	1
PB2_vRNA	744	2059	2
PB2_vRNA	435	1402	3
PB2_vRNA	301	2138	13
PB2_vRNA	202	285	2
PB2_vRNA	411	825	2
PB2_vRNA	399	899	4
PB2_vRNA	548	1885	3
PB2_vRNA	468	1918	6
PB2_vRNA	501	787	2
PB2_vRNA	501	1955	10
PB2_vRNA	1305	2055	1
PB2_vRNA	1294	1369	1
PB2_vRNA	1294	1566	2
PB2_vRNA	789	2187	1
PB2_vRNA	178	301	4
PB2_vRNA	345	2117	11
PB2_vRNA	1179	1473	1
PB2_vRNA	237	1669	14
PB2_vRNA	1114	1508	3
PB2_vRNA	1037	1244	2
PB2_vRNA	269	1040	4
PB2_vRNA	269	2245	1
PB2_vRNA	398	531	5
PB2_vRNA	505	1892	1
PB2_vRNA	505	751	2
PB2_vRNA	595	872	2
PB2_vRNA	624	1905	5
PB2_vRNA	624	866	1
PB2_vRNA	372	2183	21
PB2_vRNA	714	747	4
PB2_vRNA	575	2060	2
PB2_vRNA	1826	1937	16
PB2_vRNA	722	1356	1
PB2_vRNA	842	2199	2
PB2_vRNA	1501	2045	4
PB2_vRNA	109	1891	8
PB2_vRNA	946	2051	2
PB2_vRNA	664	1660	2
PB2_vRNA	551	1888	2
PB2_vRNA	504	1875	15
PB2_vRNA	716	897	2
PB2_vRNA	527	733	2
PB2_vRNA	1214	1688	1
PB2_vRNA	750	1243	1
PB2_vRNA	749	1597	2
PB2_vRNA	121	1625	1
PB2_vRNA	121	683	2
PB2_vRNA	1111	2048	1
PB2_vRNA	1862	1911	2
PB2_vRNA	1176	2118	1
PB2_vRNA	627	1790	1
PB2_vRNA	266	2242	2
PB2_vRNA	728	747	4
PB2_vRNA	703	828	3
PB2_vRNA	703	1150	2
PB2_vRNA	1188	1212	2
PB2_vRNA	549	1887	1
PB2_vRNA	576	631	5
PB2_vRNA	767	843	2
PB2_vRNA	539	665	4
PB2_vRNA	539	629	3
PB2_vRNA	160	493	2
PB2_vRNA	1313	2064	2
PB2_vRNA	877	2043	2
PB2_vRNA	216	286	2
PB2_vRNA	180	341	1
PB2_vRNA	1182	1795	1
PB2_vRNA	476	2060	10
PB2_vRNA	232	2147	2
PB2_vRNA	395	1576	2
PB2_vRNA	117	2047	4
PB2_vRNA	1173	2119	3
PB2_vRNA	1648	1779	1
PB2_vRNA	493	2097	2
PB2_vRNA	1694	1734	1
PB2_vRNA	365	2084	3
PB2_vRNA	365	394	1
PB2_vRNA	1156	1803	1
PB2_vRNA	1080	1644	3
PB2_vRNA	820	2095	2
PB2_vRNA	1300	1846	2
PB2_vRNA	592	1936	1
PB2_vRNA	901	1472	2
PB2_vRNA	1240	2131	2
PB2_vRNA	218	288	2
PB2_vRNA	863	2080	3
PB2_vRNA	742	2053	2
PB2_vRNA	1098	1512	2
PB2_vRNA	470	1932	3
PB2_vRNA	811	1552	1
PB2_vRNA	478	1357	2
PB2_vRNA	409	2053	2
PB2_vRNA	678	1077	2
PB2_vRNA	381	1366	1
PB2_vRNA	381	2050	2
