segment	left	right	count
PB2_vRNA	263	2183	2072
PB2_vRNA	263	2162	2
PB2_vRNA	217	287	97
PB2_vRNA	550	1887	642
PB2_vRNA	550	1791	8
PB2_vRNA	550	1845	2
PB2_vRNA	550	1908	1
PB2_vRNA	448	1924	612
PB2_vRNA	448	557	1
PB2_vRNA	562	1848	7
PB2_vRNA	562	659	1
PB2_vRNA	317	2156	1177
PB2_vRNA	317	2170	4
PB2_vRNA	317	2074	2
PB2_vRNA	625	1788	90
PB2_vRNA	486	533	222
PB2_vRNA	424	1970	6
PB2_vRNA	390	2180	5
PB2_vRNA	390	2020	2
PB2_vRNA	235	2156	2
PB2_vRNA	598	1871	30
PB2_vRNA	260	2114	21
PB2_vRNA	260	2187	2
PB2_vRNA	265	302	16
PB2_vRNA	402	2029	152
PB2_vRNA	402	2050	6
PB2_vRNA	612	1889	93
PB2_vRNA	140	2091	15
PB2_vRNA	343	2016	30
PB2_vRNA	343	2123	2
PB2_vRNA	455	1894	2
PB2_vRNA	455	2067	2
PB2_vRNA	455	1886	2
PB2_vRNA	455	1838	2
PB2_vRNA	621	1794	2
PB2_vRNA	621	1643	1
PB2_vRNA	559	1869	1
PB2_vRNA	820	874	1
PB2_vRNA	820	1714	2
PB2_vRNA	283	2180	2
PB2_vRNA	283	2166	35
PB2_vRNA	283	2182	7
PB2_vRNA	389	2017	35
PB2_vRNA	389	878	1
PB2_vRNA	389	2055	19
PB2_vRNA	389	2083	2
PB2_vRNA	389	2127	7
PB2_vRNA	389	2073	2
PB2_vRNA	563	1918	16
PB2_vRNA	563	1831	6
PB2_vRNA	368	2056	175
PB2_vRNA	368	2120	5
PB2_vRNA	348	2128	59
PB2_vRNA	319	2141	2
PB2_vRNA	319	2078	6
PB2_vRNA	420	2085	28
PB2_vRNA	610	1858	67
PB2_vRNA	515	2018	12
PB2_vRNA	515	1908	10
PB2_vRNA	515	1879	3
PB2_vRNA	489	1619	1
PB2_vRNA	185	201	4
PB2_vRNA	185	2184	2
PB2_vRNA	476	2060	5
PB2_vRNA	476	1962	4
PB2_vRNA	375	1973	2
PB2_vRNA	375	2013	5
PB2_vRNA	470	1932	22
PB2_vRNA	470	2000	2
PB2_vRNA	410	1776	5
PB2_vRNA	688	1885	178
PB2_vRNA	688	1841	4
PB2_vRNA	688	1778	1
PB2_vRNA	854	1553	4
PB2_vRNA	636	1832	1
PB2_vRNA	624	1905	28
PB2_vRNA	720	1739	7
PB2_vRNA	461	1943	97
PB2_vRNA	377	2043	60
PB2_vRNA	377	2059	9
PB2_vRNA	332	2083	3
PB2_vRNA	332	1984	3
PB2_vRNA	332	2036	1
PB2_vRNA	332	2185	1
PB2_vRNA	716	897	7
PB2_vRNA	716	1755	1
PB2_vRNA	386	2075	23
PB2_vRNA	386	2159	10
PB2_vRNA	386	2015	2
PB2_vRNA	294	2216	4
PB2_vRNA	210	280	20
PB2_vRNA	777	1517	1
PB2_vRNA	746	1771	2
PB2_vRNA	299	2057	2
PB2_vRNA	582	1897	13
PB2_vRNA	582	1856	9
PB2_vRNA	582	1788	4
PB2_vRNA	409	2038	3
PB2_vRNA	409	2053	39
PB2_vRNA	422	2172	10
PB2_vRNA	422	2034	3
PB2_vRNA	422	1248	1
PB2_vRNA	267	2148	4
PB2_vRNA	267	2145	2
PB2_vRNA	267	2054	2
PB2_vRNA	1080	1644	2
PB2_vRNA	311	2134	4
PB2_vRNA	581	1798	31
PB2_vRNA	404	2014	2
PB2_vRNA	1251	2053	2
PB2_vRNA	703	891	5
PB2_vRNA	703	1297	1
PB2_vRNA	1086	1165	5
PB2_vRNA	257	2128	6
PB2_vRNA	257	2193	2
PB2_vRNA	257	2224	2
PB2_vRNA	1011	1245	1
PB2_vRNA	1011	1292	2
PB2_vRNA	293	2168	10
PB2_vRNA	293	2029	2
PB2_vRNA	293	2125	2
PB2_vRNA	270	2138	2
PB2_vRNA	262	2159	7
PB2_vRNA	262	2182	2
PB2_vRNA	423	2025	2
PB2_vRNA	423	1578	1
PB2_vRNA	350	2104	1
PB2_vRNA	350	2075	45
PB2_vRNA	540	2062	1
PB2_vRNA	540	1877	1
PB2_vRNA	1141	2279	2
