segment	fivePrime_1	threePrime_1	fivePrime_2	threePrime_2	counts
HA_vRNA	436	664	750	1077	1
NA_vRNA	150	596	800	1078	1
NA_vRNA	151	625	806	1325	11
NA_vRNA	195	1257	1306	1325	1
NA_vRNA	333	878	927	1009	1
NA_vRNA	441	487	579	702	1
NA_vRNA	441	487	630	1005	1
NA_vRNA	441	487	747	1338	1
NP_vRNA	410	680	723	792	1
NP_vRNA	410	680	734	772	1
NP_vRNA	410	680	896	1203	1
NP_vRNA	410	680	906	940	1
NP_vRNA	758	784	1029	1056	1
PA_vRNA	72	603	665	1724	9
PA_vRNA	72	603	690	1131	1
PA_vRNA	72	603	692	1684	1
PA_vRNA	72	603	698	1653	1
PA_vRNA	72	603	703	1611	1
PA_vRNA	101	217	452	1878	1
PA_vRNA	114	176	291	2050	1
PA_vRNA	114	176	452	1907	1
PA_vRNA	148	1585	1899	2052	1
PA_vRNA	224	696	743	754	73
PA_vRNA	237	2051	2188	2197	1
PA_vRNA	242	325	427	1826	1
PA_vRNA	253	1871	2019	2068	1
PA_vRNA	260	302	362	1977	2
PA_vRNA	291	356	427	1826	1
PA_vRNA	291	356	479	1919	127
PA_vRNA	304	430	476	1889	1
PA_vRNA	304	1876	1918	1944	1
PA_vRNA	304	2034	2188	2197	2
PA_vRNA	308	434	476	1889	320
PA_vRNA	308	434	477	1890	1
PA_vRNA	309	324	427	1826	1
PA_vRNA	309	506	590	1789	1
PA_vRNA	311	2029	2188	2197	1
PA_vRNA	315	329	408	1957	3
PA_vRNA	324	333	538	1823	2
PA_vRNA	360	2025	2188	2197	6
PA_vRNA	427	1826	1969	2045	1
PA_vRNA	433	505	665	1724	1
PA_vRNA	452	1878	1916	2040	2
PA_vRNA	494	512	665	1724	1
PA_vRNA	538	643	701	1656	4
PA_vRNA	575	1772	1881	1922	1
PA_vRNA	592	1758	1969	2045	1
PB1_vRNA	214	2195	2274	2289	3
PB1_vRNA	242	2150	2174	2192	10
PB1_vRNA	248	273	355	2195	3
PB1_vRNA	253	592	853	2213	1
PB1_vRNA	272	2090	2195	2231	1
PB1_vRNA	288	2131	2250	2292	11
PB1_vRNA	297	2016	2152	2195	1
PB1_vRNA	366	383	443	1973	2
PB1_vRNA	368	385	439	1970	1
PB1_vRNA	368	385	443	1973	699
PB1_vRNA	372	389	443	1973	1
PB1_vRNA	372	2015	2152	2195	938
PB1_vRNA	372	2015	2274	2286	8
PB1_vRNA	372	2015	2274	2287	82
PB1_vRNA	385	2023	2152	2195	1
PB1_vRNA	386	470	622	1718	1
PB1_vRNA	409	2114	2152	2195	2
PB1_vRNA	409	2114	2274	2287	1
PB1_vRNA	435	482	576	1809	8
PB1_vRNA	435	482	1915	1965	3
PB1_vRNA	435	482	2053	2076	2
PB1_vRNA	437	2029	2152	2195	1
PB1_vRNA	437	2029	2274	2287	1
PB1_vRNA	534	2072	2152	2195	4
PB1_vRNA	576	1809	1915	1965	4
PB1_vRNA	576	1809	2053	2076	2
PB1_vRNA	620	663	728	1721	1
PB1_vRNA	643	667	806	1564	1
PB1_vRNA	855	1072	1308	1528	1
PB1_vRNA	1915	1965	2053	2076	6
PB1_vRNA	2152	2195	2274	2286	9
PB1_vRNA	2152	2195	2274	2287	161
PB2_vRNA	164	194	309	2069	1
PB2_vRNA	204	2154	2211	2247	1
PB2_vRNA	205	2153	2208	2244	2
PB2_vRNA	205	2153	2211	2247	2043
PB2_vRNA	205	2153	2212	2248	2
PB2_vRNA	208	2150	2211	2247	1
PB2_vRNA	208	2154	2211	2247	1
PB2_vRNA	210	280	309	2069	1
PB2_vRNA	214	284	309	2069	1
PB2_vRNA	443	1942	2211	2247	1
PB2_vRNA	499	627	789	2187	2
