segment	fivePrime_1	threePrime_1	fivePrime_2	threePrime_2	counts
HA_vRNA	237	787	1061	1126	1
HA_vRNA	444	710	750	1077	1
HA_vRNA	444	710	792	877	1
M_vRNA	373	434	551	639	1
M_vRNA	373	434	593	629	1
NA_vRNA	151	625	806	1325	4
NA_vRNA	281	343	605	1190	1
NP_vRNA	300	361	635	867	2
NP_vRNA	407	644	1101	1159	1
NP_vRNA	410	680	723	792	1
NP_vRNA	410	680	769	1125	1
NP_vRNA	410	680	770	1131	1
NP_vRNA	410	680	804	1037	1
NP_vRNA	410	680	893	1205	1
NP_vRNA	410	680	938	984	1
PA_vRNA	68	143	284	2028	1
PA_vRNA	68	143	304	2120	1
PA_vRNA	68	143	427	1826	2
PA_vRNA	68	1014	1337	1488	1
PA_vRNA	72	603	665	1724	19
PA_vRNA	114	176	304	430	1
PA_vRNA	114	176	304	1974	1
PA_vRNA	114	176	427	1826	1
PA_vRNA	166	206	307	1994	1
PA_vRNA	207	521	665	1724	1
PA_vRNA	212	257	284	2028	1
PA_vRNA	221	693	743	754	1
PA_vRNA	224	696	743	754	52
PA_vRNA	271	1588	1742	1783	5
PA_vRNA	288	356	427	1826	2
PA_vRNA	288	2029	2188	2197	6
PA_vRNA	291	356	419	924	1
PA_vRNA	291	356	420	1936	1
PA_vRNA	291	356	427	1826	1
PA_vRNA	291	356	478	1918	1
PA_vRNA	291	356	479	1919	390
PA_vRNA	291	356	590	1789	1
PA_vRNA	291	356	591	1922	1
PA_vRNA	293	358	479	1919	1
PA_vRNA	296	334	473	1872	2
PA_vRNA	304	430	476	1889	1
PA_vRNA	308	434	476	1889	598
PA_vRNA	311	2029	2188	2197	1
PA_vRNA	360	2025	2188	2197	7
PA_vRNA	394	422	427	1826	1
PA_vRNA	416	461	590	1789	1
PA_vRNA	416	461	651	1791	1
PA_vRNA	427	1826	1890	1989	1
PA_vRNA	446	485	665	1724	1
PA_vRNA	524	545	665	1724	1
PA_vRNA	538	643	701	1656	3
PA_vRNA	592	1758	1919	2098	1
PB1_vRNA	139	152	230	2138	1
PB1_vRNA	139	152	309	2154	1
PB1_vRNA	146	178	337	2185	1
PB1_vRNA	214	2195	2274	2289	5
PB1_vRNA	242	2150	2174	2192	7
PB1_vRNA	272	2090	2195	2231	4
PB1_vRNA	275	330	415	1952	1
PB1_vRNA	288	2131	2250	2292	1
PB1_vRNA	355	2089	2152	2195	1
PB1_vRNA	366	383	443	1973	1
PB1_vRNA	368	385	439	1969	2
PB1_vRNA	368	385	441	1972	1
PB1_vRNA	368	385	443	1973	817
PB1_vRNA	371	2016	2152	2195	1
PB1_vRNA	372	2015	2149	2195	2
PB1_vRNA	372	2015	2152	2195	1498
PB1_vRNA	372	2015	2274	2286	7
PB1_vRNA	372	2015	2274	2287	104
PB1_vRNA	372	2015	2276	2289	1
PB1_vRNA	373	2016	2152	2195	1
PB1_vRNA	409	2114	2152	2195	2
PB1_vRNA	435	482	576	1809	6
PB1_vRNA	435	482	1915	1965	6
PB1_vRNA	435	482	2053	2076	4
PB1_vRNA	534	2072	2152	2195	6
PB1_vRNA	534	2072	2274	2287	2
PB1_vRNA	551	1889	2152	2195	1
PB1_vRNA	576	1809	1915	1965	11
PB1_vRNA	576	1809	2053	2076	8
PB1_vRNA	621	2064	2152	2195	1
PB1_vRNA	643	667	806	1564	2
PB1_vRNA	1915	1965	2053	2076	10
PB1_vRNA	2152	2195	2274	2286	12
PB1_vRNA	2152	2195	2274	2287	183
PB2_vRNA	205	2153	2208	2244	1
PB2_vRNA	205	2153	2211	2247	2703
PB2_vRNA	205	2153	2212	2248	2
PB2_vRNA	206	2152	2211	2247	1
PB2_vRNA	210	280	311	2057	1
PB2_vRNA	210	280	443	1942	2
PB2_vRNA	214	284	309	2069	1
PB2_vRNA	214	284	443	1942	1
PB2_vRNA	214	284	537	1782	1
PB2_vRNA	249	319	517	1960	1
PB2_vRNA	265	302	443	1942	1
PB2_vRNA	270	2186	2211	2247	1
PB2_vRNA	497	526	600	1879	1
PB2_vRNA	499	1286	1454	1862	1
PB2_vRNA	506	1924	2077	2094	11
PB2_vRNA	707	793	804	1700	1
PB2_vRNA	707	833	868	1600	2
PB2_vRNA	707	833	1049	1911	1
PB2_vRNA	816	830	876	1731	28
PB2_vRNA	916	2071	2077	2094	1
