segment	fivePrime_1	threePrime_1	fivePrime_2	threePrime_2	counts
NA_vRNA	151	625	806	1325	21
NA_vRNA	187	214	364	388	1
NA_vRNA	195	1257	1306	1325	11
NA_vRNA	441	487	718	751	1
NP_vRNA	210	272	344	911	1
NP_vRNA	410	680	814	962	1
NP_vRNA	410	890	938	996	1
PA_vRNA	68	143	590	1789	1
PA_vRNA	72	603	665	1724	18
PA_vRNA	72	603	703	991	1
PA_vRNA	72	603	708	1675	1
PA_vRNA	72	603	758	1696	1
PA_vRNA	94	177	237	2091	1
PA_vRNA	113	176	360	2025	1
PA_vRNA	113	176	2191	2200	1
PA_vRNA	114	176	427	1826	2
PA_vRNA	114	182	242	1999	1
PA_vRNA	119	341	452	1878	1
PA_vRNA	148	1585	1899	2052	2
PA_vRNA	158	324	452	1878	1
PA_vRNA	160	193	427	1826	1
PA_vRNA	212	257	293	1998	1
PA_vRNA	224	696	743	754	209
PA_vRNA	225	697	744	755	2
PA_vRNA	253	1871	2019	2068	5
PA_vRNA	269	2001	2012	2039	1
PA_vRNA	288	2029	2188	2197	5
PA_vRNA	291	356	479	1919	266
PA_vRNA	292	357	427	1826	1
PA_vRNA	292	357	480	1920	1
PA_vRNA	296	334	473	1872	1
PA_vRNA	299	364	479	1919	2
PA_vRNA	304	1876	1918	1944	4
PA_vRNA	304	2034	2188	2197	1
PA_vRNA	307	1994	2188	2197	1
PA_vRNA	308	434	476	1889	626
PA_vRNA	309	344	365	2030	1
PA_vRNA	315	329	408	1957	9
PA_vRNA	321	397	427	1826	1
PA_vRNA	324	333	538	1823	2
PA_vRNA	333	404	592	1758	1
PA_vRNA	360	2025	2188	2197	9
PA_vRNA	360	2025	2191	2200	1
PA_vRNA	425	480	537	1717	1
PA_vRNA	427	1826	1916	2040	1
PA_vRNA	427	1826	1974	2026	1
PA_vRNA	538	643	701	1656	6
PA_vRNA	575	1772	1881	1922	2
PA_vRNA	590	1789	1969	2045	1
PA_vRNA	657	1704	1994	2020	1
PA_vRNA	665	1724	1969	2045	1
PA_vRNA	1341	1453	1798	1865	1
PA_vRNA	1814	1835	1910	2063	1
PB1_vRNA	186	235	299	2229	4
PB1_vRNA	189	2210	2274	2289	1
PB1_vRNA	214	2195	2274	2289	9
PB1_vRNA	242	2150	2174	2192	13
PB1_vRNA	248	273	355	2195	4
PB1_vRNA	272	2090	2195	2231	5
PB1_vRNA	275	330	415	1952	1
PB1_vRNA	288	2131	2250	2292	10
PB1_vRNA	329	2150	2206	2268	1
PB1_vRNA	366	383	443	1973	1
PB1_vRNA	368	385	439	1969	1
PB1_vRNA	368	385	442	1981	2
PB1_vRNA	368	385	443	1973	1242
PB1_vRNA	368	385	460	1978	1
PB1_vRNA	368	385	468	2019	1
PB1_vRNA	368	385	551	1889	1
PB1_vRNA	369	386	444	1974	2
PB1_vRNA	372	389	443	1973	2
PB1_vRNA	372	2015	2150	2197	9
PB1_vRNA	372	2015	2152	2195	1948
PB1_vRNA	372	2015	2152	2198	11
PB1_vRNA	372	2015	2153	2196	2
PB1_vRNA	372	2015	2154	2197	1
PB1_vRNA	372	2015	2274	2286	12
PB1_vRNA	372	2015	2274	2287	181
PB1_vRNA	372	2015	2276	2289	1
PB1_vRNA	372	2015	2278	2291	1
PB1_vRNA	373	2016	2153	2196	2
PB1_vRNA	373	2016	2275	2288	1
PB1_vRNA	383	2034	2160	2203	2
PB1_vRNA	409	2114	2152	2195	1
PB1_vRNA	409	2114	2195	2231	1
PB1_vRNA	427	2053	2152	2195	1
PB1_vRNA	430	2052	2152	2195	1
PB1_vRNA	435	482	576	1809	9
PB1_vRNA	435	482	1915	1965	4
PB1_vRNA	435	482	2053	2076	2
PB1_vRNA	437	469	643	667	1
PB1_vRNA	437	2029	2152	2195	1
PB1_vRNA	437	2037	2152	2195	1
PB1_vRNA	471	1968	2152	2195	1
PB1_vRNA	534	2072	2152	2195	9
PB1_vRNA	534	2072	2274	2287	4
PB1_vRNA	576	1809	1915	1965	12
PB1_vRNA	576	1809	2053	2076	9
PB1_vRNA	592	634	713	1958	1
PB1_vRNA	620	663	728	1721	1
PB1_vRNA	643	667	806	1564	2
PB1_vRNA	1915	1965	2053	2076	18
PB1_vRNA	2150	2197	2278	2291	1
PB1_vRNA	2152	2195	2274	2286	19
PB1_vRNA	2152	2195	2274	2287	307
PB1_vRNA	2152	2195	2276	2289	1
PB1_vRNA	2153	2196	2275	2288	1
PB2_vRNA	205	2153	2211	2247	2742
PB2_vRNA	206	2152	2211	2247	1
PB2_vRNA	208	2150	2211	2247	1
PB2_vRNA	209	2157	2211	2247	1
PB2_vRNA	210	280	309	2069	1
PB2_vRNA	210	280	443	1942	1
PB2_vRNA	214	284	309	2069	1
PB2_vRNA	214	284	443	1942	1
PB2_vRNA	214	284	507	1866	1
PB2_vRNA	232	2196	2227	2263	1
PB2_vRNA	265	302	309	2069	1
PB2_vRNA	290	2184	2211	2247	1
PB2_vRNA	491	1909	2107	2148	1
PB2_vRNA	499	1286	1430	2249	2
PB2_vRNA	506	1924	2077	2094	2
PB2_vRNA	601	630	709	1704	1
PB2_vRNA	604	648	789	2187	1
PB2_vRNA	707	833	852	885	1
PB2_vRNA	1418	1496	1700	1871	1
