segment	fivePrime	threePrime	counts
NA_vRNA	422	566	0
PA_vRNA	270	1990	0
PB2_vRNA	1293	2208	0
PB1_vRNA	577	1719	0
PB2_vRNA	625	1788	48
PB2_vRNA	387	745	0
PB1_vRNA	466	1917	0
PB2_vRNA	950	967	0
PB1_vRNA	589	1931	0
PB2_vRNA	402	2050	7
PA_vRNA	1048	2015	1
PB1_vRNA	252	1958	0
NS_vRNA	430	504	0
PB1_vRNA	460	1912	0
NP_vRNA	140	741	0
PB2_vRNA	456	2125	0
NP_vRNA	675	1441	0
NA_vRNA	946	985	1
PA_vRNA	902	1782	0
NP_vRNA	140	912	2
PB1_vRNA	1216	1868	0
HA_vRNA	199	665	7
PA_vRNA	538	1825	0
PA_vRNA	277	2024	0
NP_vRNA	534	1160	0
PA_vRNA	654	1760	0
NP_vRNA	341	1217	0
PA_vRNA	221	2052	0
PB2_vRNA	849	1583	0
PA_vRNA	552	1821	20
HA_vRNA	450	1007	1
PB2_vRNA	513	1873	0
PB1_vRNA	2229	2277	0
PA_vRNA	334	1998	6
M_vRNA	122	895	1
PB1_vRNA	654	1883	0
PA_vRNA	525	1858	0
HA_vRNA	778	1539	0
NP_vRNA	969	1074	1
PB2_vRNA	842	2199	1
PB2_vRNA	895	1557	0
NA_vRNA	380	554	0
PB2_vRNA	442	2187	0
PA_vRNA	806	936	0
PA_vRNA	820	912	0
PB2_vRNA	124	627	1
M_vRNA	600	667	0
PB1_vRNA	287	2160	0
PB2_vRNA	1473	1530	0
PB1_vRNA	378	2214	1
PB1_vRNA	405	2093	0
PA_vRNA	239	2097	0
PB2_vRNA	1305	2055	1
HA_vRNA	491	1525	0
PA_vRNA	371	2093	0
PA_vRNA	334	1885	0
PB2_vRNA	364	1250	0
PB2_vRNA	504	1875	8
PB1_vRNA	318	2134	0
PB1_vRNA	290	2201	0
PB1_vRNA	866	897	0
PB2_vRNA	520	1728	0
PB2_vRNA	822	1552	0
PA_vRNA	358	1990	0
PB1_vRNA	487	1981	0
PB2_vRNA	462	2082	0
NA_vRNA	871	1112	0
M_vRNA	479	620	6
PA_vRNA	1169	1705	0
PA_vRNA	298	2028	0
PA_vRNA	210	2026	0
PA_vRNA	254	1823	0
PB1_vRNA	499	1969	0
M_vRNA	224	725	0
PA_vRNA	1000	1262	0
PB2_vRNA	705	864	0
NP_vRNA	325	1325	1
PA_vRNA	785	1195	0
PA_vRNA	376	1998	1
NA_vRNA	335	541	0
PA_vRNA	478	1790	2
PA_vRNA	869	1661	15
NS_vRNA	670	686	0
PB1_vRNA	148	2011	0
PB2_vRNA	273	1980	0
PB1_vRNA	311	1878	0
NS_vRNA	245	420	0
NA_vRNA	770	870	42
NP_vRNA	539	1130	0
PA_vRNA	433	1011	1
PA_vRNA	630	1724	0
NS_vRNA	306	597	2
PB2_vRNA	180	2085	0
PB2_vRNA	438	2089	0
