segment	fivePrime_1	threePrime_1	fivePrime_2	threePrime_2	counts
HA_vRNA	244	295	404	1517	8
HA_vRNA	372	562	750	1077	1
HA_vRNA	444	710	764	1383	1
M_vRNA	186	311	408	658	1
NA_vRNA	125	1257	1302	1333	1
NP_vRNA	359	1176	1368	1382	1
NP_vRNA	359	1176	1462	1493	1
NP_vRNA	410	680	723	792	1
NP_vRNA	410	680	779	939	1
NP_vRNA	410	680	893	1205	1
NP_vRNA	410	680	898	990	1
NP_vRNA	410	680	901	975	1
NP_vRNA	1368	1382	1462	1493	2
PA_vRNA	51	104	471	1824	1
PA_vRNA	68	143	253	1990	1
PA_vRNA	68	143	328	2097	3
PA_vRNA	72	262	275	2123	2
PA_vRNA	72	262	278	2090	20
PA_vRNA	72	262	279	2020	16
PA_vRNA	72	262	281	2095	2
PA_vRNA	72	262	283	2044	1
PA_vRNA	72	262	286	2022	19
PA_vRNA	72	262	287	311	3
PA_vRNA	72	262	287	1917	1
PA_vRNA	72	262	297	2045	4
PA_vRNA	72	262	307	2052	21
PA_vRNA	72	262	308	2012	2
PA_vRNA	72	262	309	347	1
PA_vRNA	72	262	317	1971	11
PA_vRNA	72	262	318	2118	1
PA_vRNA	72	262	328	2097	159
PA_vRNA	72	262	329	437	2
PA_vRNA	72	262	329	1941	3
PA_vRNA	72	262	329	2022	105
PA_vRNA	72	262	330	2024	1
PA_vRNA	72	262	344	378	1
PA_vRNA	72	262	345	1958	6
PA_vRNA	72	262	352	2032	5
PA_vRNA	72	262	356	1941	4
PA_vRNA	72	262	358	394	1
PA_vRNA	72	262	369	1894	10
PA_vRNA	72	262	388	1929	80
PA_vRNA	72	262	390	1941	3
PA_vRNA	72	262	391	1876	1
PA_vRNA	72	262	409	2044	31
PA_vRNA	72	262	417	1891	16
PA_vRNA	72	262	424	1882	2
PA_vRNA	72	262	427	1826	1
PA_vRNA	72	262	435	1768	1
PA_vRNA	72	262	436	1766	10
PA_vRNA	72	262	437	1727	2
PA_vRNA	72	262	470	1782	1
PA_vRNA	72	262	471	1782	37
PA_vRNA	72	262	471	1824	23
PA_vRNA	72	262	475	1857	21
PA_vRNA	72	262	477	1398	1
PA_vRNA	72	262	479	1790	25
PA_vRNA	72	262	486	2054	1
PA_vRNA	72	262	490	1779	1
PA_vRNA	72	262	492	1802	4
PA_vRNA	72	262	503	1876	1
PA_vRNA	72	262	523	1932	2
PA_vRNA	72	262	525	1837	2
PA_vRNA	72	262	528	1742	1
PA_vRNA	72	262	532	1817	2
PA_vRNA	72	262	537	1789	1
PA_vRNA	72	262	538	2010	1
PA_vRNA	72	262	568	1784	1
PA_vRNA	72	262	570	1772	2
PA_vRNA	72	262	1865	1877	8
PA_vRNA	115	162	253	1990	1
PA_vRNA	115	162	390	1941	1
PA_vRNA	117	132	279	2020	1
PA_vRNA	117	179	409	2044	1
PA_vRNA	132	460	479	1790	1
PA_vRNA	167	184	278	2090	1
PA_vRNA	167	184	281	2095	466
PA_vRNA	167	184	307	2052	1
PA_vRNA	180	188	221	2070	1
PA_vRNA	180	188	275	2123	1
PA_vRNA	180	188	329	2022	1
PA_vRNA	189	252	328	2097	3
PA_vRNA	197	238	286	2022	1
PA_vRNA	242	325	329	2022	1
PA_vRNA	254	1823	2002	2021	4
PA_vRNA	285	316	388	1929	1
PA_vRNA	285	316	490	1779	1
PA_vRNA	285	1941	1980	2049	1
PA_vRNA	287	311	538	2010	39
PA_vRNA	291	356	479	1919	1
PA_vRNA	297	309	474	1816	3
PA_vRNA	308	320	388	1929	1
PA_vRNA	309	324	328	2097	3
PA_vRNA	309	324	329	2022	2
PA_vRNA	309	324	352	2032	1
PA_vRNA	309	324	388	1929	1
PA_vRNA	309	327	523	1932	1
PA_vRNA	309	347	388	1929	1
PA_vRNA	329	437	523	1932	1
PA_vRNA	329	437	570	1772	16
PA_vRNA	329	2022	2030	2097	1
PA_vRNA	330	344	388	1929	1
PA_vRNA	344	378	613	1721	14
PA_vRNA	345	379	613	1721	1
PA_vRNA	358	394	568	1784	2
PA_vRNA	361	1814	1943	2134	1
PA_vRNA	432	560	604	1902	1
PA_vRNA	477	1788	1865	1877	1
PA_vRNA	479	1790	1865	1877	583
PA_vRNA	479	1790	1975	2051	1
PA_vRNA	539	2024	2035	2045	1
PA_vRNA	562	1784	2035	2045	24
PA_vRNA	1865	1877	1975	2051	1
PB1_vRNA	60	100	178	1958	1
PB1_vRNA	178	1958	2051	2071	1
PB1_vRNA	204	1868	2068	2149	1
PB1_vRNA	234	274	289	1877	1
PB1_vRNA	234	274	350	2057	57
PB1_vRNA	239	2074	2198	2210	1
PB1_vRNA	241	264	327	2021	22
PB1_vRNA	241	1902	2055	2075	525
PB1_vRNA	241	1902	2056	2076	1
PB1_vRNA	243	259	355	1920	4
PB1_vRNA	252	321	383	1898	1
PB1_vRNA	252	321	416	2016	211
PB1_vRNA	252	321	425	2019	1
PB1_vRNA	252	2148	2198	2210	1
PB1_vRNA	265	464	512	1916	1
PB1_vRNA	272	329	415	1952	1
PB1_vRNA	275	330	413	1950	1
PB1_vRNA	275	330	414	1952	4
PB1_vRNA	275	330	415	1952	1599
PB1_vRNA	275	330	416	1953	3
PB1_vRNA	275	330	418	1955	53
PB1_vRNA	275	330	418	1984	1
PB1_vRNA	275	330	446	1993	2
PB1_vRNA	275	332	415	1952	1
PB1_vRNA	286	2140	2274	2287	1
PB1_vRNA	292	308	462	2023	12
PB1_vRNA	307	376	552	1995	1
PB1_vRNA	307	376	554	1997	37
PB1_vRNA	324	337	444	2030	65
PB1_vRNA	337	376	418	2024	98
PB1_vRNA	423	448	514	1930	15
PB1_vRNA	443	1939	1988	2158	1
PB1_vRNA	445	491	534	1826	32
PB1_vRNA	473	1973	2188	2214	1
PB1_vRNA	624	643	697	1804	4
PB1_vRNA	731	796	862	1745	47
PB1_vRNA	1494	2048	2055	2075	1
PB1_vRNA	1905	1955	2055	2075	2
PB2_vRNA	119	184	317	2156	1
PB2_vRNA	129	156	263	2183	1
PB2_vRNA	164	243	448	1924	1
PB2_vRNA	206	2154	2211	2247	3
PB2_vRNA	214	284	317	2156	4
PB2_vRNA	214	284	398	2002	1
PB2_vRNA	214	284	402	2029	1
PB2_vRNA	214	284	448	1924	2
PB2_vRNA	214	284	550	1887	1
PB2_vRNA	265	302	392	2028	1
PB2_vRNA	331	2049	2253	2271	1
PB2_vRNA	397	530	550	1887	14
PB2_vRNA	397	530	574	1078	1
PB2_vRNA	397	530	582	1856	3
PB2_vRNA	397	530	582	1897	2
PB2_vRNA	397	530	612	1889	2
PB2_vRNA	397	530	624	1905	1
PB2_vRNA	397	530	625	1788	1
PB2_vRNA	397	530	703	889	1
PB2_vRNA	397	530	703	2053	1
PB2_vRNA	445	1909	1974	1989	26
PB2_vRNA	486	533	688	1885	194
PB2_vRNA	610	1858	2004	2059	1
