"FSC-A","SSC-A","PerCP-Cy5-5-A","Time"
69488,63432.2,85.56,1.29621
65393.6,78542.8,14.88,1.33881
73457.6,83573.5,24.8,1.35707
79311.2,75343.6,68.2,1.37532
71556.8,75010.1,49.6,1.45646
113070,107827,49.6,1.566
99008.8,146362,115.32,1.5731
71672,85204.1,54.56,1.57513
77956.8,121333,173.6,1.57716
58908,71712.9,128.96,1.5802
95028,81114.6,39.68,1.58122
74553.6,90434.4,69.44,1.58527
63656.8,51618.7,11.16,1.58527
75300,102797,18.6,1.59035
78453.6,123637,93,1.59136
74371.2,91105.3,260.4,1.60556
77543.2,119913,31,1.63294
66870.4,86209.8,68.2,1.637
81452.8,130604,173.6,1.66946
57114.4,58872.7,80.6,1.67047
71900.8,79785.3,84.32,1.68771
78975.2,118174,109.12,1.69481
67088,65992.8,62,1.7151
61176.8,49887.7,73.16,1.71713
62236.8,61422.2,0,1.74857
60608,66659.9,21.08,1.7648
92222.4,120960,187.24,1.76683
61984.8,60430.2,-27.28,1.77798
67772.8,94726.1,126.48,1.78407
58512,55914.1,343.48,1.78711
65017.6,65408.8,99.2,1.79015
64192.8,66656.2,91.76,1.79522
63234.4,64129.1,38.44,1.80942
57306.4,53351,122.76,1.81044
69916,73568,86.8,1.82058
67893.6,83133.3,104.16,1.82565
57521.6,48508.8,176.08,1.82971
66526.4,82386.8,13.64,1.83072
60074.4,74498,101.68,1.83174
64003.2,71308.7,16.12,1.83377
66246.4,60344.6,-39.68,1.83579
78384,105164,28.52,1.84188
82064,126723,38208.1,1.84492
75032.8,86554.5,17.36,1.84695
85432.8,100180,-52.08,1.84999
78359.2,124843,74.4,1.85405
62204.8,68425.7,78.12,1.85811
56308,53554.4,12.4,1.85811
75706.4,94044.1,97.96,1.86115
69576.8,71288.8,76.88,1.86521
68681.6,98913.6,-28.52,1.86724
61502.4,61217.6,73.16,1.86926
73085.6,88398.4,110.36,1.87028
61802.4,63804.2,45.88,1.87535
69817.6,61929.3,71.92,1.93418
71103.2,107713,128.96,1.93621
74212.8,78003.4,76.88,1.94026
73461.6,107214,34.72,1.94331
67623.2,77710.8,28.52,1.94635
69516,98209.2,76.88,1.94939
79970.4,95456.4,999.44,1.95446
63171.2,80255.3,97.96,1.95852
63817.6,75630.1,97.96,1.96055
68632,92695,115.32,1.9646
65895.2,68341.4,76.88,1.97069
83904,126935,275.28,1.97272
56030.4,49082.9,12.4,1.98388
60834.4,60549.2,347.2,1.98692
56211.2,58359.4,52.08,1.98793
96520,120946,51218.2,1.99199
70516,84999.5,79.36,2.00517
75412,81320.4,34.72,2.03256
56029.6,50603.2,39.68,2.05183
65293.6,68523.6,79.36,2.05487
64276.8,83470.6,91.76,2.05994
75892,120033,94.24,2.06096
67782.4,88981.2,22129,2.06502
57249.6,55814.9,34.72,2.06603
58664,57340.1,29.76,2.06907
68307.2,72098.6,21.08,2.0711
66837.6,87118.7,70.68,2.07313
75625.6,116507,136.4,2.07414
62084.8,81098.5,176.08,2.07516
67727.2,85832.8,86.8,2.08023
70390.4,92385,95.48,2.08429
67012.8,75260.6,62,2.11269
66794.4,96433.6,166.16,2.11471
62653.6,62021.1,39.68,2.12181
69119.2,87211.7,124,2.15326
81206.4,127584,104.16,2.16847
61607.2,66353.6,54.56,2.1705
66592.8,74500.4,119.04,2.1705
82995.2,131051,111.6,2.17253
104061,109330,-59.52,2.18267
82240.8,118450,43.4,2.18267
77346.4,118063,106.64,2.18774
74569.6,104827,78.12,2.18977
86204,114535,90.52,2.1918
79572,110883,104.16,2.19687
79387.2,116896,23.56,2.21614
63004.8,65116.1,65.72,2.2202
68107.2,91203.2,53.32,2.22527
69328.8,92221.3,198.4,2.22831
73176.8,109832,163.68,2.23034
61455.2,74737.3,42.16,2.23541
81641.6,120502,140.12,2.23845
91817.6,131183,111.6,2.24657
66363.2,78658.2,53.32,2.24859
67279.2,86245.7,81.84,2.25265
68740.8,66116.8,198.4,2.25569
71121.6,94212.7,47.12,2.25975
83516,123121,194.68,2.26279
87430.4,130837,137.64,2.26381
78434.4,116946,115.32,2.26787
66650.4,90458,95.48,2.27192
65416.8,73905.2,3568.72,2.27497
75034.4,110495,183.52,2.27699
76316.8,98317.1,76.88,2.29931
75416,102252,159.96,2.32162
75483.2,104652,85.56,2.32771
76257.6,72494.1,132.68,2.32771
71121.6,89669.4,74.4,2.32973
